t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
15000,0.021586308255791664,0.006040013395249844,1,"[12, 115]","[127, 250]",8,-4.162277995411908e-06,-3.956099062440554e-06,0.9836050643413329,0.9197727492135689,0.0018206424756201933,0.0018009091924140463,0.0018206424756201933,0.00048226118087768555,0.00038692355155944824,1.0,1.0,0.013733567669987679,0.0028628441505134106,33938.55693363956,27934.701949857073,-18621.4375590086,18574.702546298504,-56.69262492656708,0.005507351845153607,0.0005964414303889498
16000,0.023327799513936043,0.006050547119230032,1,"[12, 120]","[132, 250]",8,-4.403239826640212e-06,-3.5505143094961435e-06,0.9866324840008733,0.8033426431823288,0.0018085528071916657,0.0018085528071916657,0.0018085528071916657,0.00046625733375549316,0.0004131197929382324,1.0,1.0,0.01860654167830944,0.003147842362523079,32599.327200853993,29268.69282082757,-19960.666935801506,19908.69362205267,-63.16461646556854,0.005863344500539824,0.0008012250982574187
17000,0.021153587847948074,0.006045008078217506,1,"[12, 126]","[138, 250]",8,-4.388533526735038e-06,-3.736035177696341e-06,0.9925514406443928,0.8800027752780529,0.0018185284185158745,0.0018185284185158745,0.0018185284185158745,0.00047022104263305664,0.0003941655158996582,1.0,1.0,0.012126998975872993,0.002645248780027032,31257.631514128236,30603.799377498304,-21302.3626203537,21243.7999047637,-71.31380939483643,0.005865518065547803,0.0005272653943393379
18000,0.02280120737850666,0.006065187975764275,1,"[12, 131]","[143, 250]",8,-4.126775461695193e-06,-3.8126824747119736e-06,0.9859518423415174,0.7362010851009113,0.0018008785277975892,0.0018008785277975892,0.001824246485196912,0.0004801750183105469,0.00038632750511169434,1.0,1.0,0.017039893195033073,0.0030802227556705475,29915.034355845535,31940.720783283945,-22644.959901094437,22580.72101521492,-78.86909472942352,0.00574306002818048,0.00023193097513285466
19000,0.020579464733600616,0.006054076831787825,1,"[12, 137]","[149, 250]",8,-4.409907600296653e-06,-2.8792271866797457e-06,0.9911894150699596,0.8694949919238191,0.0017710374848023958,0.0017710374848023958,0.0017710374848023958,0.0004628300666809082,0.00043579936027526855,1.0,1.0,0.011201930232346058,0.0025477937888354063,28571.980792051167,33279.640535954095,-23988.013396263123,23919.640781402588,-85.20086789131165,0.005811685710796155,0.0002454484929330647
20000,0.02205519564449787,0.006074528209865093,1,"[12, 142]","[155, 250]",9,-4.214390162651905e-06,-4.357071165808448e-06,0.9844350675944575,0.8523772396776512,0.0018471090500002396,0.0018220803118310092,0.0018471090500002396,0.00047978758811950684,0.0003624558448791504,1.0,1.0,0.014927772805094719,0.0029622328002005816,27226.374464526074,34619.02163402176,-25333.620243787766,25259.02151107788,-93.94333934783936,0.005291686160489917,-0.0001229438785230741
21000,0.0235887560993433,0.006079784594476223,1,"[12, 148]","[160, 250]",8,-4.335009970967758e-06,-3.3730763282557e-06,0.9942949533237389,0.6967779922857482,0.001793151146127936,0.001793151146127936,0.001793151146127936,0.00046515464782714844,0.00040149688720703125,1.0,1.0,0.018957722932100296,0.003206299152225256,25881.17532786919,35960.506640003325,-26678.819304943085,26600.50687009096,-100.47756314277649,0.005367187724914402,0.00023008763673715293
22000,0.021298598498106003,0.006074630655348301,1,"[12, 154]","[166, 250]",8,-4.263349463760475e-06,-2.81334647502862e-06,0.9951932626129273,0.6853949956670169,0.001771498642128333,0.001771498642128333,0.001771498642128333,0.000473707914352417,0.00042682886123657227,1.0,1.0,0.012329389341175556,0.002672964008525014,24535.088790639362,37302.30183987995,-28024.90595293045,27942.302078664303,-107.88849377632141,0.005256430187728256,0.00023878435604274273
23000,0.022819051519036293,0.00609001237899065,1,"[12, 159]","[171, 250]",8,-4.223718146999168e-06,-3.607138019225738e-06,0.9930029796652451,0.5250656393044598,0.0017950427570704308,0.0017950427570704308,0.0018263164734864112,0.0004710257053375244,0.00038364529609680176,1.0,1.0,0.017070626839995384,0.0030840591061860323,23187.4957646666,38645.67293329231,-29372.49881863594,29285.673269212246,-115.51624989509583,0.005416697458713315,0.00033591993269510567
24000,0.020496690645813942,0.006075079552829266,1,"[12, 165]","[177, 250]",8,-4.291919669562111e-06,-3.193865201361536e-06,0.9943008400847779,0.7054458083359669,0.0017892058721747928,0.0017892058721747928,0.0017892058721747928,0.0004710853099822998,0.00039634108543395996,1.0,1.0,0.011293027549982071,0.002536579268053174,21839.861494558092,39989.48080740145,-30720.133115291595,30629.48117798567,-123.02082896232605,0.005390150312450714,0.0003705842173076235
