step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
11800,2.880003906116e+04,2.880003906116e+04,1.920010637076e+04,9.599597220861e+03,0.000000000000e+00,0.000000000000e+00,2.880003906482e+04,0.000000000000e+00,3.354695382604e-01,-3.663823008537e-06,-3.354732020816e-01
12000,2.880003914822e+04,2.880003914822e+04,1.920011038875e+04,9.599588894545e+03,0.000000000000e+00,0.000000000000e+00,2.880003915042e+04,0.000000000000e+00,3.398649264927e-01,-2.194195985794e-06,-3.398671206887e-01
12200,2.880003956877e+04,2.880003956877e+04,1.920011496499e+04,9.599580549400e+03,0.000000000000e+00,0.000000000000e+00,2.880003956050e+04,0.000000000000e+00,3.440543737051e-01,8.270144462585e-06,-3.440461035607e-01
12400,2.880003932525e+04,2.880003932525e+04,1.920011955677e+04,9.599572124330e+03,0.000000000000e+00,0.000000000000e+00,2.880003932786e+04,0.000000000000e+00,3.476441506664e-01,-2.611428499222e-06,-3.476467620931e-01
12600,2.880003957784e+04,2.880003957784e+04,1.920012317993e+04,9.599564201833e+03,0.000000000000e+00,0.000000000000e+00,2.880003956795e+04,0.000000000000e+00,3.521960843500e-01,9.896233677864e-06,-3.521861881163e-01
12800,2.880003962595e+04,2.880003962595e+04,1.920012718999e+04,9.599556599803e+03,0.000000000000e+00,0.000000000000e+00,2.880003960079e+04,0.000000000000e+00,3.558361535324e-01,2.515688538551e-05,-3.558109966471e-01
13000,2.880003962222e+04,2.880003962222e+04,1.920013039717e+04,9.599548833907e+03,0.000000000000e+00,0.000000000000e+00,2.880003961879e+04,0.000000000000e+00,3.603911392693e-01,3.430992364883e-06,-3.603877082787e-01
13200,2.880003938827e+04,2.880003938827e+04,1.920013442565e+04,9.599541244183e+03,0.000000000000e+00,0.000000000000e+00,2.880003936732e+04,0.000000000000e+00,3.637184450272e-01,2.095662057400e-05,-3.636974884066e-01
13400,2.880003945506e+04,2.880003945506e+04,1.920013818053e+04,9.599533862522e+03,0.000000000000e+00,0.000000000000e+00,2.880003943563e+04,0.000000000000e+00,3.674120017804e-01,1.943111419678e-05,-3.673925706680e-01
13600,2.880003932766e+04,2.880003932766e+04,1.920014211044e+04,9.599526342807e+03,0.000000000000e+00,0.000000000000e+00,2.880003932750e+04,0.000000000000e+00,3.708744162795e-01,1.564621925354e-07,-3.708742598174e-01
