t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
44000,38400,38371.74609375,38527.0,1,38400,1.0039869546890259,0.3346623182296753,146,79,246,288,288,0.9386658668518066,1.007869839668274,0.025207025930285454,0.0015030018985271454,0.8903887271881104,1.007869839668274
45000,38400,38371.99609375,38527.87109375,1,38400,1.0040041208267212,0.33466804027557373,146,79,246,288,288,0.938629686832428,1.0078121423721313,0.02529165707528591,0.0015017862897366285,0.8904271125793457,1.0078121423721313
46000,38400,38372.25390625,38528.73046875,1,38400,1.0040202140808105,0.3346734046936035,146,79,246,288,288,0.9386012554168701,1.007869839668274,0.025158343836665154,0.0015015731332823634,0.8904527425765991,1.007869839668274
47000,38400,38372.50390625,38529.58203125,1,38400,1.004036545753479,0.334678848584493,146,79,246,288,288,0.9385718107223511,1.0079071521759033,0.025179464370012283,0.0015028490452095866,0.8904953002929688,1.0079071521759033
48000,38400,38372.75390625,38530.421875,1,38400,1.0040525197982788,0.33468417326609295,146,79,246,288,288,0.9385592341423035,1.0079272985458374,0.025134917348623276,0.0015028784982860088,0.8905223608016968,1.0079272985458374
49000,38400,38372.9609375,38531.23046875,1,38400,1.0040688514709473,0.3346896171569824,146,79,246,288,288,0.9385462403297424,1.0079162120819092,0.02522006817162037,0.0015018193516880274,0.890557050704956,1.0079162120819092
50000,38400,38373.1796875,38532.046875,1,38400,1.0040851831436157,0.3346950610478719,146,79,246,288,288,0.9385198354721069,1.0079537630081177,0.025210339576005936,0.001502681989222765,0.8905845880508423,1.0079537630081177
51000,38400,38373.390625,38532.8515625,1,38400,1.0041011571884155,0.33470038572947186,146,79,246,288,288,0.9385043978691101,1.0079463720321655,0.02524755522608757,0.0015030414797365665,0.8906084299087524,1.0079463720321655
52000,38400,38373.58984375,38533.6484375,1,38400,1.0041171312332153,0.3347057104110718,146,79,246,288,288,0.9384914040565491,1.0079503059387207,0.02521374821662903,0.0015033396193757653,0.8906428813934326,1.0079503059387207
53000,38400,38373.7421875,38534.421875,1,38400,1.0041338205337524,0.3347112735112508,146,79,246,288,288,0.938468337059021,1.0078678131103516,0.025262711569666862,0.0015015356475487351,0.8906667828559875,1.0078678131103516
54000,38400,38373.90625,38535.18359375,1,38400,1.0041499137878418,0.3347166379292806,146,79,246,288,288,0.9384573698043823,1.0078668594360352,0.02517080307006836,0.0015018631238490343,0.8906987905502319,1.0078668594360352
55000,38400,38374.0625,38535.94140625,1,38400,1.0041660070419312,0.33472200234731037,146,79,246,288,288,0.9384464025497437,1.0080326795578003,0.025241201743483543,0.0015023634769022465,0.8907256126403809,1.0080326795578003
56000,38400,38374.203125,38536.68359375,1,38400,1.004181981086731,0.33472732702891034,146,79,246,288,288,0.9384421110153198,1.0080196857452393,0.02526220679283142,0.0015021093422546983,0.8907522559165955,1.0080196857452393
57000,38400,38374.35546875,38537.41015625,1,38400,1.004197359085083,0.334732453028361,146,79,246,288,288,0.9384400844573975,1.0080448389053345,0.02523295022547245,0.0015024865278974175,0.8907760381698608,1.0080448389053345
58000,38400,38374.5078125,38538.15234375,1,38400,1.0042128562927246,0.3347376187642415,146,79,246,288,288,0.9384273290634155,1.0080349445343018,0.02517917938530445,0.0015035293763503432,0.8908119201660156,1.0080349445343018
59000,38400,38374.625,38538.8671875,1,38400,1.0042290687561035,0.33474302291870117,146,79,246,288,288,0.9384234547615051,1.0080504417419434,0.02520890161395073,0.001503161620348692,0.890828013420105,1.0080504417419434
60000,38400,38374.72265625,38539.58984375,1,38400,1.0042455196380615,0.3347485065460205,146,79,246,288,288,0.9384181499481201,1.0080703496932983,0.025364425033330917,0.0015028598718345165,0.8908601999282837,1.0080703496932983
