t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
6250,81.79663,243.2025,81.7975,0.000869751,-80.702934,83.16295623779297,242.83656311035156,0.9995193481445312,6.013469149669011e-05
6500,81.79341,243.20572,81.79428,0.000869751,-80.706154,83.15974426269531,242.83975982666016,0.9995040893554688,5.997715517878533e-05
6750,81.7929,243.20622,81.79378,0.0008773804,-80.706665,83.1593017578125,242.8402099609375,0.99951171875,6.042625134189924e-05
7000,81.789474,243.20963,81.790375,0.00090026855,-80.710075,83.15597534179688,242.84349822998047,0.9994735717773438,6.0963692764441175e-05
7250,81.7887,243.21042,81.78958,0.00088500977,-80.71086,83.15522003173828,242.84425354003906,0.9994735717773438,6.055535127719243e-05
7500,81.78603,243.21309,81.78691,0.0008773804,-80.71353,83.15269470214844,242.84679412841797,0.9994888305664062,6.09715407093366e-05
7750,81.78449,243.21461,81.785385,0.00089263916,-80.71506,83.15120697021484,242.8482666015625,0.9994735717773438,6.129315122961998e-05
8000,81.78266,243.21645,81.783554,0.00089263916,-80.71689,83.14949035644531,242.8499984741211,0.9994888305664062,6.096687167882919e-05
8250,81.78059,243.21852,81.78148,0.00089263916,-80.71896,83.14750671386719,242.85196685791016,0.9994735717773438,6.124525641401609e-05
8500,81.779175,243.21992,81.780075,0.00090026855,-80.720375,83.14619445800781,242.85327911376953,0.9994735717773438,6.112387403845787e-05
8750,81.77701,243.2221,81.77789,0.00088500977,-80.72255,83.14413452148438,242.85533142089844,0.9994659423828125,6.116041913628578e-05
9000,81.77548,243.22359,81.77641,0.00093078613,-80.72405,83.14287567138672,242.8565902709961,0.9994659423828125,6.154053534070651e-05
9250,81.77335,243.22578,81.774216,0.0008621216,-80.72621,83.1410903930664,242.85841369628906,0.9995040893554688,6.183316310246785e-05
9500,81.77152,243.2274,81.7726,0.0010757446,-80.727936,83.13971710205078,242.85982513427734,0.999542236328125,6.197879711786906e-05
9750,81.76959,243.22939,81.770615,0.0010223389,-80.7299,83.13816833496094,242.861328125,0.9994964599609375,6.144125014543533e-05
10000,81.7676,243.23128,81.76872,0.001121521,-80.73184,83.13661193847656,242.86285400390625,0.9994659423828125,6.227662786841393e-05
10250,81.76589,243.23308,81.76692,0.0010299683,-80.7336,83.13525390625,242.86419677734375,0.99945068359375,6.161329646905263e-05
10500,81.76389,243.235,81.765,0.0011062622,-80.73555,83.1337661743164,242.86575317382812,0.9995193481445312,6.379609306653341e-05
10750,81.76222,243.23672,81.763275,0.0010528564,-80.73725,83.13243865966797,242.86705780029297,0.9994964599609375,6.259570519129435e-05
