x,rho_col,rho_mid,psi_col,vx_col,vm_mid
189,1.0045379,1.0045463,1.0000097,0.003878,0.005802752
190,1.0045178,1.00453,1.0000097,0.0038768484,0.0058032912
191,1.0044978,1.0045121,1.0000097,0.0038782542,0.005805952
192,1.0044781,1.004493,1.0000097,0.0038771827,0.0058053927
193,1.0044581,1.0044729,1.0000098,0.0038785751,0.0058068405
194,1.0044385,1.0044512,1.0000099,0.0038777883,0.0058054025
195,1.0044197,1.0044289,1.0000098,0.0038794416,0.0058059706
196,1.0044008,1.0044063,1.0000098,0.0038792284,0.0058041746
197,1.004383,1.004384,1.0000098,0.0038814223,0.005804691
198,1.0043658,1.0043622,1.0000099,0.0038820703,0.0058035562
199,1.0043494,1.0043416,1.0000099,0.0038851011,0.0058049564
200,1.0043341,1.0043223,1.00001,0.0038868259,0.0058052205
201,1.0043195,1.0043051,1.0000099,0.0038908545,0.0058081457
202,1.0043061,1.0042896,1.00001,0.0038937812,0.0058102887
203,1.0042934,1.0042754,1.00001,0.0038988572,0.0058149202
204,1.0042816,1.0042633,1.0000101,0.0039028828,0.0058186837
205,1.0042707,1.0042521,1.00001,0.0039087231,0.0058244928
206,1.0042596,1.0042415,1.00001,0.0039134277,0.0058292728
207,1.0042487,1.0042311,1.0000101,0.0039194794,0.0058354242
208,1.0042373,1.0042204,1.0000101,0.0039241053,0.005839949
209,1.0042249,1.004209,1.0000101,0.0039294348,0.00584519
210,1.0042112,1.0041958,1.0000101,0.0039328765,0.005848398
211,1.004195,1.004181,1.0000101,0.0039362824,0.005851571
212,1.0041765,1.0041636,1.0000101,0.0039373101,0.0058522951
213,1.0041549,1.0041437,1.0000103,0.003937616,0.0058524208
214,1.0041301,1.0041206,1.0000103,0.0039352402,0.005849923
215,1.0041021,1.0040945,1.0000105,0.003931806,0.0058463989
216,1.0040709,1.0040658,1.0000103,0.0039258171,0.0058403588
217,1.004037,1.0040342,1.0000105,0.0039189146,0.0058334372
218,1.0040011,1.0040005,1.0000104,0.0039100135,0.00582449
219,1.0039639,1.003965,1.0000106,0.0039007587,0.0058151744
220,1.0039264,1.0039289,1.0000104,0.0038904662,0.0058046249
221,1.0038888,1.0038927,1.0000107,0.0038805921,0.0057944553
222,1.0038522,1.0038569,1.0000105,0.003870656,0.0057840296
223,1.0038173,1.0038223,1.0000107,0.0038618017,0.0057746335
224,1.0037845,1.0037895,1.0000106,0.0038535262,0.0057657594
225,1.0037539,1.0037589,1.0000107,0.003846627,0.005758333
226,1.0037253,1.0037302,1.0000106,0.0038406195,0.0057517095
227,1.0036993,1.0037038,1.0000107,0.0038359682,0.0057466752
228,1.003675,1.0036789,1.0000107,0.0038321672,0.0057424586
229,1.0036525,1.0036564,1.0000107,0.0038293786,0.0057392954
230,1.0036314,1.0036353,1.0000107,0.0038272387,0.0057368139
231,1.0036116,1.0036151,1.0000107,0.0038257439,0.0057351436
232,1.0035921,1.0035957,1.0000107,0.0038246827,0.0057337531
233,1.0035735,1.0035769,1.000011,0.0038239078,0.0057326527
234,1.0035553,1.0035586,1.0000107,0.0038234449,0.0057316469
235,1.0035369,1.0035404,1.000011,0.0038230265,0.0057305037
236,1.0035187,1.0035219,1.0000111,0.0038228636,0.0057291263
237,1.0035003,1.0035033,1.0000112,0.0038226331,0.0057271924
238,1.0034817,1.0034847,1.0000111,0.0038227057,0.0057246131
239,1.0034631,1.0034657,1.000011,0.003822593,0.0057207351
240,1.003444,1.0034462,1.0000112,0.0038228226,0.0057154628
241,1.0034248,1.0034268,1.0000112,0.0038228189,0.0057077873
242,1.003405,1.0034069,1.0000112,0.0038232142,0.0056974995
243,1.0033849,1.003387,1.0000113,0.0038233032,0.005683064
244,1.0033648,1.0033667,1.0000113,0.0038238664,0.0056639952
245,1.0033442,1.0033466,1.0000113,0.0038240529,0.0056381873
246,1.003323,1.0033265,1.0000114,0.0038247437,0.0056047672
247,1.0033015,1.003307,1.0000113,0.003824984,0.0055609806
248,1.0032794,1.0032876,1.0000117,0.0038257432,0.0055056955
249,1.0032567,1.0032696,1.0000116,0.0038259679,0.0054358286
250,1.003233,1.0032526,1.0000119,0.003826739,0.005350708
251,1.0032079,1.0032371,1.0000113,0.0038268697,0.0052479105
252,1.0031812,1.0032237,1.0000123,0.0038275756,0.0051286393
253,1.0031519,1.0032129,1.000011,0.0038275563,0.004993225
254,1.0031191,1.0032058,1.0000134,0.0038281244,0.0048472108
255,1.0030798,1.0032015,1.0000095,0.0038279276,0.0046968963
256,1.0030334,1.0032037,1.0000334,0.0038283474,0.0045552766
257,1.002987,1.0032281,1,0.0038279016,0.0044361628
258,1,1,1,0.0028692246,0.0032922984
259,1,1,1,0.00095097185,0.0010915744
260,0,0,0,0,0
261,0,0,0,0,0
