x,psi,rho,vx,vm
242,1.0000062,1.0033517,0.0056957267,0.00569573
243,1.0000064,1.003333,0.0056822714,0.0056822775
244,1.0000062,1.0033151,0.0056637763,0.005663787
245,1.0000055,1.0032974,0.0056392103,0.0056392299
246,1.000005,1.0032808,0.0056065395,0.0056065731
247,1.000005,1.0032648,0.0055642873,0.0055643427
248,1.0000048,1.0032501,0.0055100075,0.0055100969
249,1.0000045,1.0032367,0.0054419781,0.0054421173
250,1.0000045,1.0032247,0.005358051,0.0053582597
251,1.0000043,1.0032148,0.0052571679,0.0052574659
252,1.0000043,1.0032078,0.0051390762,0.0051394789
253,1.0000036,1.0032036,0.0050056139,0.0050061205
254,1.000005,1.0032028,0.0048608552,0.0048614359
255,1.0000038,1.0032059,0.0047124666,0.0047130524
256,1.0000169,1.0032151,0.0045720101,0.0045724963
257,1,1.003237,0.004455091,0.0044553732
258,1,1,0.0033073968,0.0033075351
259,1,1,0.0010972905,0.0010973479
260,0,0,0,0
261,0,0,0,0
