t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
11000,0.023598888888955116,0.005985145457088947,1,"[12, 92]","[104, 250]",8,-3.8071097592182815e-06,-3.87689368650531e-06,0.9872052223764045,0.917852241699404,0.001806290035218372,0.001806290035218372,0.001806290035218372,0.0005165040493011475,0.0003845095634460449,1.0,1.0,0.01907334104180336,0.0032010944560170174,39355.525766979656,22541.46824178894,-13203.997054219246,13181.549567043781,-29.131194174289703,0.4771788010984892,0.08132525483961217
12000,0.021494993939995766,0.005991084035485983,1,"[12, 98]","[110, 250]",8,-4.705124977898289e-06,-3.981206101197617e-06,0.9874180773968845,0.956629665659199,0.0018566293360030572,0.001839725323012742,0.0018566293360030572,0.0004760622978210449,0.0003808736801147461,1.0,1.0,0.013338461518287659,0.002821976551786065,38027.590047785176,23862.518784120555,-14531.878482580185,14502.629053354263,-36.01171290874481,0.5314696346395067,0.11026923370809527
13000,0.02340134233236313,0.0060064177960157394,1,"[12, 103]","[115, 250]",8,-4.023978960402363e-06,-3.7627568850576118e-06,0.996357378234961,0.8774923151031242,0.001806968561520017,0.001806968561520017,0.001806968561520017,0.0005058944225311279,0.0003922581672668457,1.0,1.0,0.018819661810994148,0.0031647682189941406,36697.643443994384,25185.139038382,-15861.772687911987,15825.28211760521,-43.56439387798309,0.5838680936285527,0.14307922320949729
14000,0.02159586362540722,0.006006368435919285,1,"[12, 109]","[121, 250]",8,-4.4129531796860285e-06,-3.895284991198424e-06,0.9904590618313179,0.9141639024833246,0.001832349608863082,0.001832349608863082,0.001832349608863082,0.0004856586456298828,0.000379711389541626,1.0,1.0,0.012609372846782207,0.0027084772009402514,35365.0992608472,26510.717302980014,-17194.269958376884,17150.894868552685,-51.02907979488373,0.6307807759149,0.1775655726705736
15000,0.023194245994091034,0.006025244947522879,1,"[12, 114]","[126, 250]",8,-4.022160363509883e-06,-3.6109271338380515e-06,0.9898206867489653,0.8147159878779486,0.0017934279068868575,0.0017934279068868575,0.001812145452350311,0.0005018711090087891,0.0003997385501861572,1.0,1.0,0.018219994381070137,0.003121315035969019,34031.55597104895,27838.004470936678,-18527.76686811447,18478.2199370265,-58.07518953084946,0.6771608365816064,0.21546608982316684
16000,0.021141793578863144,0.00601987773552537,1,"[12, 120]","[132, 250]",8,-4.461580739603549e-06,-3.772557441989156e-06,0.9957202673315608,0.9053254047564891,0.0018260168813972188,0.0018260168813972188,0.0018260168813972188,0.0004813075065612793,0.00038185715675354004,1.0,1.0,0.011974425055086613,0.0026303878985345364,32695.33832780329,29167.604067664597,-19863.941348433495,19807.85947549343,-65.79612183570862,0.7203237632165838,0.25540782883399515
17000,0.0228286013007164,0.006041347049176693,1,"[12, 125]","[137, 250]",8,-3.99517938836819e-06,-3.7443539987461025e-06,0.9846167330834225,0.7691030764644511,0.0017926861586119447,0.0017926861586119447,0.0018143604473112585,0.0005035400390625,0.0003800392150878906,1.0,1.0,0.01711050607264042,0.003080308437347412,31358.011225217102,30498.6248047787,-21201.226662397385,21138.921356379986,-73.52776092290878,0.7621123855133192,0.296551601284591
18000,0.020679673179984093,0.006028850097209215,1,"[12, 131]","[143, 250]",8,-4.47158400208644e-06,-3.2372636204033894e-06,0.9906179088479375,0.9042344880355496,0.0017967491881527575,0.0017967491881527575,0.0017967491881527575,0.00047665834426879883,0.0004089176654815674,1.0,1.0,0.01107344962656498,0.0025653678458184004,30020.202199475323,31831.69503521592,-22538.993702054024,22472.034335255623,-80.00825780630112,0.8040984706531162,0.3393000397045398
19000,0.022284185513854027,0.0060498639941215515,1,"[12, 136]","[149, 250]",9,-4.1157020348251725e-06,-4.298658862527407e-06,0.9748882270908651,0.8535768491704121,0.0018415525928871523,0.0018165964962660874,0.0018415525928871523,0.0005014240741729736,0.00035327672958374023,1.0,1.0,0.015694105997681618,0.003017332637682557,28680.41508369434,33164.86845170404,-23878.738949656487,23805.2524715662,-88.69062614440918,0.8459666491726239,0.3840198621619493
20000,0.020235612988471985,0.006032987497746944,1,"[12, 142]","[154, 250]",8,-4.33741963873929e-06,-2.6576671743286853e-06,0.9882707890928742,0.8129584316166212,0.0017537803903705518,0.0017537803903705518,0.0017537803903705518,0.0004799962043762207,0.0004258155822753906,1.0,1.0,0.01890181563794613,0.003179189981892705,27341.299869540482,34500.42820939175,-25217.81353712082,25140.85787051916,-94.63005602359772,0.8865933386987308,0.4296611274112365
