step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
2200,2.880094166561e+04,2.880094166561e+04,1.920045569307e+04,9.600310392180e+03,0.000000000000e+00,0.000000000000e+00,2.880094167477e+04,0.000000000000e+00,1.755803544802e-01,-9.160488843918e-06,-1.755895149690e-01,2.185063622892e-02
2400,2.880102749226e+04,2.880102749226e+04,1.920049861991e+04,9.600338717249e+03,0.000000000000e+00,0.000000000000e+00,2.880102748513e+04,0.000000000000e+00,1.901551079063e-01,7.132068276405e-06,-1.901479758380e-01,2.185795456171e-02
2600,2.880111299417e+04,2.880111299417e+04,1.920054205500e+04,9.600367328569e+03,0.000000000000e+00,0.000000000000e+00,2.880111299968e+04,0.000000000000e+00,2.036106016203e-01,-5.509704351425e-06,-2.036161113247e-01,2.186913788319e-02
2800,2.880119913494e+04,2.880119913494e+04,1.920058460608e+04,9.600396297917e+03,0.000000000000e+00,0.000000000000e+00,2.880119914013e+04,0.000000000000e+00,2.182309379423e-01,-5.194917321205e-06,-2.182361328596e-01,2.188140153885e-02
3000,2.880128511227e+04,2.880128511227e+04,1.920062789662e+04,9.600425315392e+03,0.000000000000e+00,0.000000000000e+00,2.880128510040e+04,0.000000000000e+00,2.319002578297e-01,1.187250018120e-05,-2.318883853295e-01,2.189284935594e-02
3200,2.880137099803e+04,2.880137099803e+04,1.920067100293e+04,9.600454497499e+03,0.000000000000e+00,0.000000000000e+00,2.880137101251e+04,0.000000000000e+00,2.454975983419e-01,-1.447834074497e-05,-2.455120766826e-01,2.190249972045e-02
3400,2.880145672908e+04,2.880145672908e+04,1.920071456664e+04,9.600483192143e+03,0.000000000000e+00,0.000000000000e+00,2.880145672470e+04,0.000000000000e+00,2.589702935729e-01,4.377216100693e-06,-2.589659163568e-01,2.190995961428e-02
3600,2.880154279655e+04,2.880154279655e+04,1.920075766474e+04,9.600511710119e+03,0.000000000000e+00,0.000000000000e+00,2.880154279703e+04,0.000000000000e+00,2.734216855933e-01,-4.824250936508e-07,-2.734221680184e-01,2.191536873579e-02
3800,2.880162912029e+04,2.880162912029e+04,1.920079902733e+04,9.600540210997e+03,0.000000000000e+00,0.000000000000e+00,2.880162911546e+04,0.000000000000e+00,2.898819653929e-01,4.831701517105e-06,-2.898771336913e-01,2.191907912493e-02
4000,2.880171512258e+04,2.880171512258e+04,1.920083976989e+04,9.600568913537e+03,0.000000000000e+00,0.000000000000e+00,2.880171511102e+04,0.000000000000e+00,3.064391531880e-01,1.156516373158e-05,-3.064275880242e-01,2.192157320678e-02
4200,2.880180081546e+04,2.880180081546e+04,1.920088006689e+04,9.600597199379e+03,0.000000000000e+00,0.000000000000e+00,2.880180081338e+04,0.000000000000e+00,3.235491949927e-01,2.086162567139e-06,-3.235471088301e-01,2.192330360413e-02
4400,2.880188728973e+04,2.880188728973e+04,1.920092040985e+04,9.600625743140e+03,0.000000000000e+00,0.000000000000e+00,2.880188728690e+04,0.000000000000e+00,3.411367388180e-01,2.827495336533e-06,-3.411339113227e-01,2.192463353276e-02
4600,2.880197350818e+04,2.880197350818e+04,1.920095992622e+04,9.600654760438e+03,0.000000000000e+00,0.000000000000e+00,2.880197351950e+04,0.000000000000e+00,3.588215230629e-01,-1.132115721703e-05,-3.588328442202e-01,2.192581444979e-02
4800,2.880205932311e+04,2.880205932311e+04,1.920099854849e+04,9.600683766611e+03,0.000000000000e+00,0.000000000000e+00,2.880205934638e+04,0.000000000000e+00,3.770080099603e-01,-2.327188849449e-05,-3.770312818488e-01,2.192694693804e-02
5000,2.880214543607e+04,2.880214543607e+04,1.920103649339e+04,9.600712595679e+03,0.000000000000e+00,0.000000000000e+00,2.880214543629e+04,0.000000000000e+00,3.963469921546e-01,-2.216547727585e-07,-3.963472138093e-01,2.192819118500e-02
