step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
10,-9.374570236105e-03,2.001021057367e-04,9.574672341842e-03,0.000000000000e+00,2.546813338995e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.150105476379e-04,-7.791069947416e-06,0.000000000000e+00,0.000000000000e+00
11,-9.112097832258e-03,3.150105476379e-04,9.427108379896e-03,0.000000000000e+00,1.535993069410e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.157669514418e-04,2.658481971594e-04,0.000000000000e+00,0.000000000000e+00
12,-9.224346722476e-03,2.157669514418e-04,9.440113673918e-03,0.000000000000e+00,2.172607928514e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.142621040344e-04,2.227665754617e-04,0.000000000000e+00,0.000000000000e+00
13,-9.229852505086e-03,1.142621040344e-04,9.344114609121e-03,0.000000000000e+00,3.017839044333e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.406295388937e-04,2.910997936851e-04,0.000000000000e+00,0.000000000000e+00
14,-9.219168394338e-03,2.406295388937e-04,9.459797933232e-03,0.000000000000e+00,1.806076616049e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.807968020439e-05,3.063544172619e-04,0.000000000000e+00,0.000000000000e+00
15,-9.344915149995e-03,6.807968020439e-05,9.412994830200e-03,0.000000000000e+00,3.684926778078e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.645963639021e-04,2.535424027883e-04,0.000000000000e+00,0.000000000000e+00
16,-9.229964874976e-03,1.645963639021e-04,9.394561238878e-03,0.000000000000e+00,2.808347344398e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.944499909878e-05,2.884855275624e-04,0.000000000000e+00,0.000000000000e+00
17,-9.237615668098e-03,6.944499909878e-05,9.307060667197e-03,0.000000000000e+00,3.398563712835e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.903203368187e-05,2.099597913912e-04,0.000000000000e+00,0.000000000000e+00
18,-9.107719088206e-03,7.903203368187e-05,9.186751121888e-03,0.000000000000e+00,3.262441605330e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.375321298838e-04,2.093631846947e-04,0.000000000000e+00,0.000000000000e+00
19,-8.990838112368e-03,1.375321298838e-04,9.128370242252e-03,0.000000000000e+00,2.557113766670e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.049954444170e-04,1.381441143167e-04,0.000000000000e+00,0.000000000000e+00
9000,9.541804997716e-01,-2.701021730900e-05,-9.542075099889e-01,0.000000000000e+00,4.560779780149e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.600012183189e-05,2.948887085950e-04,0.000000000000e+00,nan
9001,9.543416890410e-01,-1.600012183189e-05,-9.543576891629e-01,0.000000000000e+00,4.492308944464e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.399645745754e-05,2.822510286933e-04,0.000000000000e+00,0.000000000000e+00
9002,9.545086689068e-01,-2.399645745754e-05,-9.545326653642e-01,0.000000000000e+00,4.624407738447e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.125386476517e-05,2.875636091630e-04,0.000000000000e+00,0.000000000000e+00
