step,Mff,Mr,Mb,Mrho,d_fc
10000,3.686411523028e+04,1.843197602752e+04,1.843197870180e+04,3.686411489099e+04,1.605009581872e-01
10200,3.686410764473e+04,1.843197534233e+04,1.843197809781e+04,3.686410792583e+04,1.542045855749e-01
10400,3.686411577600e+04,1.843197504613e+04,1.843197770688e+04,3.686411582392e+04,1.630229936818e-01
10600,3.686411122624e+04,1.843197443749e+04,1.843197714497e+04,3.686411072510e+04,1.596437754706e-01
10800,3.686411137467e+04,1.843197443380e+04,1.843197695806e+04,3.686411102462e+04,1.599828108920e-01
11000,3.686411598012e+04,1.843197413380e+04,1.843197646289e+04,3.686411623508e+04,1.653834283279e-01
11200,3.686411766987e+04,1.843197366367e+04,1.843197602289e+04,3.686411861783e+04,1.679832991395e-01
11400,3.686411434613e+04,1.843197316797e+04,1.843197573679e+04,3.686411452103e+04,1.654413747310e-01
11600,3.686412038367e+04,1.843197270597e+04,1.843197536247e+04,3.686412013221e+04,1.723152289596e-01
11800,3.686413597022e+04,1.843197226525e+04,1.843197504435e+04,3.686413603485e+04,1.886606273292e-01
12000,3.686414196308e+04,1.843197188146e+04,1.843197466525e+04,3.686414193320e+04,1.954163686642e-01
