step,Mff,Mr,Mb,Mrho,d_fc
4000,3.686410999451e+04,1.843215355058e+04,1.843218988479e+04,3.686411000848e+04,-2.334408611096e-01
4200,3.686411590500e+04,1.843215269066e+04,1.843219288960e+04,3.686411588770e+04,-2.296752653310e-01
4400,3.686411737100e+04,1.843215498029e+04,1.843219786056e+04,3.686411679739e+04,-2.354698483250e-01
4600,3.686411981067e+04,1.843215119268e+04,1.843220171740e+04,3.686412090158e+04,-2.330994067743e-01
4800,3.686411511333e+04,1.843215001761e+04,1.843220366390e+04,3.686411492038e+04,-2.385681821397e-01
5000,3.686411557424e+04,1.843215008397e+04,1.843220363289e+04,3.686411594522e+04,-2.381426293396e-01
5200,3.686412232418e+04,1.843214658369e+04,1.843220129810e+04,3.686412227160e+04,-2.255576059106e-01
5400,3.686411274793e+04,1.843214218273e+04,1.843219844612e+04,3.686411294454e+04,-2.278809168856e-01
5600,3.686411378590e+04,1.843214248552e+04,1.843220202242e+04,3.686411433947e+04,-2.307220406619e-01
5800,3.686411680694e+04,1.843213877713e+04,1.843221025609e+04,3.686411595505e+04,-2.322262829439e-01
6000,3.686411673581e+04,1.843213747731e+04,1.843221400721e+04,3.686411732984e+04,-2.347487171573e-01
6200,3.686410689153e+04,1.843213522678e+04,1.843222267648e+04,3.686410689569e+04,-2.510117331076e-01
6400,3.686410884589e+04,1.843213709724e+04,1.843222419544e+04,3.686410854924e+04,-2.524467915318e-01
6600,3.686411824490e+04,1.843213516844e+04,1.843222927168e+04,3.686411918366e+04,-2.461952182384e-01
6800,3.686411186117e+04,1.843213133724e+04,1.843221577749e+04,3.686411184686e+04,-2.352535633181e-01
7000,3.686411170799e+04,1.843213305847e+04,1.843221326980e+04,3.686411160171e+04,-2.346202804147e-01
7200,3.686411459861e+04,1.843213378095e+04,1.843221545808e+04,3.686411495280e+04,-2.346404137425e-01
7400,3.686411197590e+04,1.843213434076e+04,1.843222221619e+04,3.686411214215e+04,-2.445810531099e-01
7600,3.686411241269e+04,1.843212875032e+04,1.843222572019e+04,3.686411165428e+04,-2.420578164674e-01
7800,3.686411628279e+04,1.843213112617e+04,1.843223472099e+04,3.686411597610e+04,-2.495643641050e-01
8000,3.686411134175e+04,1.843214184021e+04,1.843223120287e+04,3.686411144263e+04,-2.617013263298e-01
8200,3.686410115833e+04,1.843213824629e+04,1.843222434894e+04,3.686410026407e+04,-2.614368924515e-01
8400,3.686410588497e+04,1.843214708395e+04,1.843223187385e+04,3.686410611421e+04,-2.730728359456e-01
8600,3.686410249648e+04,1.843215126851e+04,1.843222739203e+04,3.686410299397e+04,-2.761640667122e-01
8800,3.686411167316e+04,1.843215025103e+04,1.843222847215e+04,3.686411150450e+04,-2.670500293971e-01
9000,3.686412799913e+04,1.843215732693e+04,1.843223775509e+04,3.686412769735e+04,-2.670828990085e-01
9200,3.686412501471e+04,1.843215598003e+04,1.843224501804e+04,3.686412577111e+04,-2.759833676064e-01
9400,3.686413802925e+04,1.843216812813e+04,1.843225757928e+04,3.686413780427e+04,-2.876781489394e-01
9600,3.686413994730e+04,1.843217151819e+04,1.843225963783e+04,3.686414003718e+04,-2.912087249424e-01
9800,3.686413643729e+04,1.843217000786e+04,1.843226617906e+04,3.686413662410e+04,-2.997496311982e-01
10000,3.686412371514e+04,1.843217846002e+04,1.843227927056e+04,3.686412391293e+04,-3.340154375073e-01
10200,3.686414491125e+04,1.843218823223e+04,1.843228943522e+04,3.686414503390e+04,-3.327561918632e-01
10400,3.686415597881e+04,1.843219600747e+04,1.843230669665e+04,3.686415644318e+04,-3.467253221097e-01
10600,3.686417045049e+04,1.843218760331e+04,1.843231894061e+04,3.686417084610e+04,-3.360934348020e-01
10800,3.686418707883e+04,1.843219019391e+04,1.843232647058e+04,3.686418741143e+04,-3.295856636032e-01
11000,3.686420473638e+04,1.843219355095e+04,1.843233714087e+04,3.686420449257e+04,-3.259554428478e-01
11200,3.686420737897e+04,1.843219526688e+04,1.843233278693e+04,3.686420750034e+04,-3.206748346311e-01
11400,3.686421578600e+04,1.843219754843e+04,1.843233561373e+04,3.686421550173e+04,-3.173761614235e-01
11600,3.686422354842e+04,1.843221047124e+04,1.843233428850e+04,3.686422347122e+04,-3.212113300069e-01
