class,quantity,n,mean,std,frac_pos,max_abs
mixed,R_b,134869,1.557208684843e-09,7.782336509162e-08,5.477166732162e-01,3.259629011154e-07
mixed,R_r,134869,3.976198791312e-09,8.480723164540e-08,5.542711816652e-01,3.334134817123e-07
mixed,Rc1_b,134869,-3.317095168319e-09,7.794369702654e-08,3.131408996878e-01,3.483146429062e-07
mixed,Rc1_r,134869,-9.255598474644e-10,8.438716431421e-08,3.385952294449e-01,3.483146429062e-07
mixed,Req_b,134869,5.508627172476e-09,8.772717423831e-09,7.836567335711e-01,4.470348358154e-08
mixed,Req_r,134869,5.518045968948e-09,8.679958187661e-09,7.772653463731e-01,4.470348358154e-08
mixed,Rrec_b,134869,-6.343233193144e-10,1.325815026033e-09,2.633147721122e-01,5.587935447693e-09
mixed,Rrec_r,134869,-6.162873301716e-10,1.309666931018e-09,2.606306860732e-01,5.587935447693e-09
mixed,cc,134869,5.916641951133e-01,2.325873492401e-01,1.000000000000e+00,7.500010728836e-01
mixed,dacc_b,134869,1.670201937671e-09,7.132497625645e-08,5.050085638657e-01,3.483146429062e-07
mixed,dacc_r,134869,-2.041248220170e-09,6.748647368116e-08,4.903721388903e-01,3.464519977570e-07
mixed,net_b,134869,-8.815899075505e-07,2.081139333922e-06,3.341909556681e-01,5.125999450684e-06
mixed,net_r,134869,-8.641060897483e-07,2.081090192719e-06,3.441858395925e-01,5.185604095459e-06
mixed_tau=1e-05,R_b,92160,-3.906011032332e-09,8.027465182053e-08,5.296549479167e-01,3.259629011154e-07
mixed_tau=1e-05,R_r,92160,-3.830901311966e-09,8.626043235483e-08,5.247938368056e-01,3.334134817123e-07
mixed_tau=1e-05,Rc1_b,92160,-8.404971042261e-09,8.049685157596e-08,3.058919270833e-01,3.483146429062e-07
mixed_tau=1e-05,Rc1_r,92160,-8.399224157917e-09,8.602920549186e-08,3.202039930556e-01,3.483146429062e-07
mixed_tau=1e-05,Req_b,92160,5.427242892135e-09,8.028477462531e-09,7.671657986111e-01,4.470348358154e-08
mixed_tau=1e-05,Req_r,92160,5.470211464045e-09,8.015340092753e-09,7.643880208333e-01,4.470348358154e-08
mixed_tau=1e-05,Rrec_b,92160,-9.282828822052e-10,1.516411840341e-09,2.701280381944e-01,5.587935447693e-09
mixed_tau=1e-05,Rrec_r,92160,-9.018886180937e-10,1.500840297967e-09,2.666883680556e-01,5.587935447693e-09
mixed_tau=1e-05,cc,92160,7.499983314683e-01,1.441412976313e-06,1.000000000000e+00,7.500010728836e-01
mixed_tau=1e-05,dacc_b,92160,6.414984139418e-09,6.998281228582e-08,5.218207465278e-01,3.483146429062e-07
mixed_tau=1e-05,dacc_r,92160,1.276481289663e-09,6.421697958897e-08,4.971571180556e-01,3.073364496231e-07
mixed_tau=1e-05,net_b,92160,-4.496215195912e-07,1.975503082046e-06,3.780707465278e-01,4.053115844727e-06
mixed_tau=1e-05,net_r,92160,-4.272306493173e-07,1.973053857708e-06,3.833441840278e-01,4.053115844727e-06
mixed_tau=1e-07,R_b,159424,2.721123662086e-10,7.658803759984e-08,5.403640606182e-01,3.259629011154e-07
mixed_tau=1e-07,R_r,159424,1.912061916241e-09,8.228247583260e-08,5.449618627057e-01,3.334134817123e-07
mixed_tau=1e-07,Rc1_b,159424,-4.609572612923e-09,7.710367613635e-08,3.034800281012e-01,3.483146429062e-07
mixed_tau=1e-07,Rc1_r,159424,-2.991014852705e-09,8.224502332649e-08,3.249322561220e-01,3.483146429062e-07
mixed_tau=1e-07,Req_b,159424,5.418307769351e-09,8.987021138996e-09,7.821156162184e-01,4.470348358154e-08
mixed_tau=1e-07,Req_r,159424,5.424441538251e-09,8.861385872915e-09,7.776307205941e-01,4.470348358154e-08
mixed_tau=1e-07,Rrec_b,159424,-5.366227902193e-10,1.240755419002e-09,2.601427639502e-01,5.587935447693e-09
mixed_tau=1e-07,Rrec_r,159424,-5.213647693049e-10,1.224961984637e-09,2.581229927740e-01,5.587935447693e-09
mixed_tau=1e-07,cc,159424,5.390400454689e-01,2.469314895978e-01,1.000000000000e+00,7.500010728836e-01
mixed_tau=1e-07,dacc_b,159424,2.423279386229e-09,7.124990688937e-08,5.099294961863e-01,3.483146429062e-07
mixed_tau=1e-07,dacc_r,159424,-8.780117694932e-10,6.843846972573e-08,4.978735949418e-01,3.464519977570e-07
mixed_tau=1e-07,net_b,159424,-7.971144973383e-07,2.015563808337e-06,3.535352268165e-01,5.125999450684e-06
mixed_tau=1e-07,net_r,159424,-7.888437313543e-07,2.009550405942e-06,3.592683661180e-01,5.185604095459e-06
non_wall,R_b,1474560,2.012170203057e-10,8.067128002550e-08,5.441677517361e-01,3.427267074585e-07
non_wall,R_r,1474560,-4.339709719359e-10,7.873783070156e-08,5.421596950955e-01,3.427267074585e-07
non_wall,Rc1_b,1474560,-4.670222225052e-09,8.136716340941e-08,3.090196397569e-01,3.483146429062e-07
non_wall,Rc1_r,1474560,-5.359583164303e-09,7.952560612382e-08,3.079216851128e-01,3.483146429062e-07
non_wall,Req_b,1474560,4.929456926343e-09,9.809450123447e-09,7.853515625000e-01,4.470348358154e-08
non_wall,Req_r,1474560,4.981980232361e-09,9.595397292803e-09,7.767530653212e-01,4.656612873077e-08
non_wall,Rrec_b,1474560,-5.801768098519e-11,4.406924351247e-10,4.259982638889e-02,5.587935447693e-09
non_wall,Rrec_r,1474560,-5.636803999387e-11,4.341001457419e-10,4.321560329861e-02,5.587935447693e-09
non_wall,cc,1474560,6.250000152574e-02,1.874996502098e-01,1.754116482205e-01,7.500010728836e-01
non_wall,dacc_b,1474560,-3.025374186122e-10,7.356716991767e-08,4.929253472222e-01,3.818422555923e-07
non_wall,dacc_r,1474560,1.394721208225e-10,6.743214332734e-08,4.940205891927e-01,3.594905138016e-07
non_wall,net_b,1474560,-1.013203983059e-10,1.735563223979e-06,3.046780056424e-01,5.304813385010e-06
non_wall,net_r,1474560,-2.944988511132e-10,1.734754009418e-06,3.043124728733e-01,5.245208740234e-06
pure,R_b,1339691,6.470700433592e-11,8.095117545541e-08,5.438104756992e-01,3.427267074585e-07
pure,R_r,1339691,-8.779503565847e-10,7.808688763636e-08,5.409404108858e-01,3.427267074585e-07
pure,Rc1_b,1339691,-4.806443856021e-09,8.170262108038e-08,3.086047454226e-01,3.427267074585e-07
pure,Rc1_r,1339691,-5.805963927269e-09,7.900582945298e-08,3.048337265832e-01,3.427267074585e-07
pure,Req_b,1339691,4.871150860298e-09,9.905935473865e-09,7.855221838469e-01,4.470348358154e-08
pure,Req_r,1339691,4.928013571521e-09,9.681117834657e-09,7.767014931055e-01,4.656612873077e-08
pure,Rrec_b,1339691,5.903478854051e-20,2.007303521120e-16,2.038007271826e-02,1.024142454327e-14
pure,Rrec_r,1339691,-8.363469554366e-19,2.146956822030e-16,2.132805251360e-02,1.058560791106e-14
pure,cc,1339691,9.228130904107e-03,4.713662723735e-02,9.239891885517e-02,2.500019073486e-01
pure,dacc_b,1339691,-5.011364867872e-10,7.378619867987e-08,4.917089089947e-01,3.818422555923e-07
pure,dacc_r,1339691,3.590089928843e-10,6.742276371743e-08,4.943878849675e-01,3.594905138016e-07
pure,net_b,1339691,8.863965364767e-08,1.671316394490e-06,3.017068861402e-01,5.304813385010e-06
pure,net_r,1339691,8.666690154100e-08,1.671420565388e-06,3.002983523813e-01,5.245208740234e-06
pure_tau=1e-05,R_b,1382400,4.750322238148e-10,8.069021959179e-08,5.451352719907e-01,3.427267074585e-07
