t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
14000,0.023822424933314323,0.003373706480488181,1,"[12, 78]","[90, 486]",8,-4.023515709058799e-06,-5.275896963988756e-06,0.9233401670929899,0.9978330269977361,0.0029959699784837257,0.0029959699784837257,0.0029997578568389804,0.00033867359161376953,0.0002580881118774414,1.0,1.0,0.0206513162702322,0.0038393675349652767,64856.75961734878,12392.09841675042,-6132.486616253853,6306.778312444687,176.33400774002075,-9.246233602629218,-1.3201043057324569
15000,0.023889968171715736,0.0033736343029886484,1,"[12, 81]","[93, 486]",8,-4.08743914784577e-06,-5.272598723844079e-06,0.9561912148979007,0.9981404474603385,0.002998300173268631,0.002998300173268631,0.0030017433868579912,0.00034120678901672363,0.00025835633277893066,1.0,1.0,0.020951319485902786,0.003840591525658965,64387.90246141138,12855.7906794863,-6602.002147316933,6770.356613993645,170.95169341564178,-9.904608728313178,-1.434065492654554
16000,0.023940807208418846,0.0033736994955688715,1,"[12, 84]","[96, 486]",8,-4.71480828526078e-06,-5.268028664019032e-06,0.9957895808317829,0.9987060384840949,0.003028963556063191,0.003028963556063191,0.003031152695326722,0.0003299713134765625,0.0002589225769042969,1.0,1.0,0.02124713733792305,0.003852966707199812,63918.9244993606,13319.674556402444,-7071.630264282227,7234.122918784618,165.620561003685,-10.554763642823673,-1.5516376178256905
17000,0.023617343977093697,0.003372391453012824,1,"[12, 87]","[99, 486]",8,-5.086863023965525e-06,-5.249871922474384e-06,0.9994783678901606,0.9991589749742796,0.003041818612731728,0.003041818612731728,0.0030410611341022964,0.00032070279121398926,0.00026103854179382324,1.0,1.0,0.021505439653992653,0.0039030739571899176,63449.81024132112,13783.72448720975,-7541.399733066559,7698.050907313824,160.2847186923027,-11.20997438768245,-1.673579895927105
18000,0.026675445958971977,0.003358040004968643,1,"[12, 90]","[102, 486]",8,-5.34263319126134e-06,-5.235162242043951e-06,0.99932399079179,0.9983581386144323,0.0030498965546224555,0.00304640683616475,0.003054220232918625,0.0003127753734588623,0.0002627074718475342,1.0,1.0,0.026675445958971977,0.00389271741732955,62980.59962247189,14247.93287418003,-8011.267072677612,8162.1340457201,154.98229157924652,-11.866695149503357,-1.7988284599286999
19000,0.020950671285390854,0.003347385209053755,1,"[12, 93]","[104, 486]",7,-5.529082591401087e-06,-5.234788904184814e-06,0.9988780564788637,0.9976150464923613,0.003060724837586626,0.003060724837586626,0.003068636849536288,0.00030806660652160645,0.0002625584602355957,1.0,1.0,0.020950671285390854,0.003322909353300929,62511.26172278415,14712.256286831174,-8481.25912117958,8626.32892036438,149.64518189430237,-12.520843963728112,-1.9273664667944104
20000,0.02098962478339672,0.0033492876682430506,1,"[12, 96]","[107, 486]",7,-5.601089565790662e-06,-5.246466925186289e-06,0.9990718513893165,0.9978209706781498,0.003072038572336566,0.003072038572336566,0.0030797456590735406,0.0003094971179962158,0.0002608299255371094,1.0,1.0,0.02098962478339672,0.003332079155370593,62041.81066851643,15176.643889824154,-8951.361008167267,9090.58340638876,144.23378771543503,-13.171676683698024,-2.060483435394417
21000,0.021025098860263824,0.0033512176014482975,1,"[12, 99]","[110, 486]",7,-5.580606535831246e-06,-5.254407547701392e-06,0.9985543842897676,0.9979637421608762,0.003078178747305982,0.003078178747305982,0.003085678263747005,0.00031435489654541016,0.00025984644889831543,1.0,1.0,0.021025098860263824,0.003333756932988763,61572.25797027804,15641.18134123666,-9421.560899853706,9554.982823073864,138.84838527441025,-13.818870131748554,-2.1985181627951533
22000,0.02106153964996338,0.0033528741914778948,1,"[12, 102]","[113, 486]",7,-5.488818224729724e-06,-5.259108421302959e-06,0.9972542416538013,0.9980305381892711,0.0030784568749377406,0.0030784568749377406,0.0030858588650928276,0.0003210604190826416,0.00025916099548339844,1.0,1.0,0.02106153964996338,0.003334102686494589,61102.5726395514,16105.841555868154,-9891.890778899193,10019.500327169895,133.42836391925812,-14.463418450592144,-2.341228698258419
23000,0.02108835056424141,0.0033545854967087507,1,"[12, 105]","[116, 486]",7,-5.3853564045958885e-06,-5.262262502896645e-06,0.9960378884735196,0.9980397231144097,0.0030762516073191692,0.0030762516073191692,0.00308363852037441,0.00032719969749450684,0.0002588033676147461,1.0,1.0,0.02108835056424141,0.0033363192342221737,60632.75405178118,16570.682866768268,-10362.34650361538,10484.194185733795,128.03896933794022,-15.100555396558775,-2.4886810344723926
24000,0.02111666649580002,0.0033557622227817774,1,"[12, 108]","[119, 486]",7,-5.279436335574932e-06,-5.263130093821311e-06,0.9965009010211,0.9980320671265254,0.0030725382417841063,0.0030725382417841063,0.0030799169143400085,0.00033333897590637207,0.0002586841583251953,1.0,1.0,0.02111666649580002,0.003338365349918604,60162.814510803866,17035.63883605352,-10832.915019631386,10948.996595144272,122.62474989891052,-15.729530435251945,-2.6422409092483576
25000,0.02113347500562668,0.003357049310579896,1,"[12, 111]","[122, 486]",7,-5.197414440657242e-06,-5.26349237082621e-06,0.9977547274861295,0.9979931344501468,0.0030690535700105825,0.0030690535700105825,0.0030764461600451543,0.00033789873123168945,0.0002587437629699707,1.0,1.0,0.02113347500562668,0.0033433435019105673,59692.78508133445,17500.748729057384,-11303.571603655815,11413.947088241577,117.25239151716232,-16.356684990263602,-2.801640815807332
26000,0.02115592174232006,0.0033585894852876663,1,"[12, 114]","[125, 486]",7,-5.137201420582767e-06,-5.263316171441909e-06,0.996963219216338,0.9979229595580451,0.003066045569174114,0.003066045569174114,0.0030734825322835113,0.00034117698669433594,0.00025898218154907227,1.0,1.0,0.02115592174232006,0.003349923761561513,59222.62715562798,17966.04687834945,-11774.359604716301,11879.080951571465,111.91257745027542,-16.98676034428354,-2.9659267779861693
27000,0.021176422014832497,0.003359914291650057,1,"[12, 117]","[128, 486]",7,-5.091931929658532e-06,-5.262516097897121e-06,0.9942699021255911,0.9978421730156896,0.0030631899122521844,0.0030631899122521844,0.0030706931184315,0.00034362077713012695,0.00025922060012817383,1.0,1.0,0.021176422014832497,0.003357496578246355,58752.338796222146,18431.478789907294,-12245.275687336922,12344.341995477676,106.55388158559799,-17.614483559067594,-3.1367944296180212
28000,0.02119431644678116,0.003361046314239502,1,"[12, 120]","[131, 486]",7,-5.06121665700928e-06,-5.261366188810911e-06,0.9931019798682867,0.9977758691681704,0.0030607222900427833,0.0030607222900427833,0.0030682648381187283,0.0003452599048614502,0.0002594292163848877,1.0,1.0,0.02119431644678116,0.003365069627761841,58281.92742685754,18897.046853869604,-12716.300653934479,12809.733324170113,101.20045679807663,-18.228080792017863,-3.3135296994914825
