t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
11000,0.021336788311600685,0.00406112102791667,1,"[12, 73]","[86, 486]",9,-3.0465097039043247e-06,-2.7284764931504826e-06,0.9859605779547744,0.9933991289473394,0.001966596281732569,0.001966596281732569,0.001966596281732569,0.0003839433193206787,0.0002770423889160156,1.0,1.0,0.01320064440369606,0.0025206301361322403,100633.62564903483,18089.196072153532,-8566.189080059528,8729.20103186369,157.14745616912842,0.1852709056402091,0.0049597101569816004
12000,0.022191962227225304,0.004073456395417452,1,"[12, 77]","[90, 486]",9,-3.3389190798083326e-06,-2.749724992077997e-06,0.9937430886080469,0.9953076584920056,0.0019760197418531855,0.001969980840632879,0.0019760197418531855,0.0003660917282104492,0.000274658203125,1.0,1.0,0.014904873445630074,0.0028363955207169056,99744.62336331594,18972.600632860762,-9455.044147074223,9612.616552710533,152.35432243347168,0.3324896098347381,0.01591984977130778
13000,0.02362380363047123,0.004079529084265232,1,"[12, 81]","[93, 486]",8,-2.5997348715009144e-06,-2.733973246369261e-06,0.8886845111822191,0.9849355413123678,0.001915515183802452,0.001915515183802452,0.0019216355005035046,0.00036409497261047363,0.0002733469009399414,1.0,1.0,0.015652257949113846,0.0023202046286314726,98854.30855396978,19856.921579067108,-10345.21375221014,10496.95132380724,147.1530122756958,0.47769382008118555,0.029744740131718572
14000,0.02121330052614212,0.0040694912895560265,1,"[12, 84]","[97, 486]",9,-2.8459881001983293e-06,-2.7348305529606594e-06,0.9909878472784988,0.9938053277151122,0.001957255436255523,0.001957255436255523,0.001957255436255523,0.00038561224937438965,0.0002751350402832031,1.0,1.0,0.012872308492660522,0.002471249783411622,97963.96018788236,20740.966418646258,-11235.422530591488,11381.01386642456,141.6201336979866,0.6172815261525102,0.04744777830273961
15000,0.021868817508220673,0.004082697909325361,1,"[12, 88]","[101, 486]",9,-3.1952294110407232e-06,-2.7579064449932554e-06,0.99239862055757,0.9948135804738636,0.0019729980730207597,0.001966777533490782,0.0019729980730207597,0.00036713480949401855,0.0002722442150115967,1.0,1.0,0.014200430363416672,0.002793575869873166,97072.52781155569,21626.611662946678,-12126.714476525784,12266.676917612553,136.5871298313141,0.7577119185298216,0.06525466587481787
16000,0.023328052833676338,0.004090271424502134,1,"[12, 92]","[104, 486]",8,-2.9791301955566357e-06,-2.729813559015256e-06,0.9317336730783257,0.9834371090490341,0.0019334624188002136,0.0019334624188002136,0.0019398855537036686,0.00035256147384643555,0.0002745091915130615,1.0,1.0,0.014994275756180286,0.002317101461812854,96180.07969251157,22513.426886479763,-13019.019808232784,13153.511724472046,131.6900556087494,0.9004992556438083,0.08483799228270072
17000,0.021000733599066734,0.004078080877661705,1,"[12, 95]","[108, 486]",9,-2.736789889653191e-06,-2.734008281240776e-06,0.9937435298779911,0.992689617364539,0.001943984957711975,0.001943984957711975,0.001943984957711975,0.00038307905197143555,0.00027292966842651367,1.0,1.0,0.01235934253782034,0.0024340027011930943,95286.83260916984,23400.02025276608,-13912.126854002476,14040.12685906887,125.75243943929672,1.0405368276842637,0.10660630279016914
18000,0.02155156061053276,0.004089111462235451,1,"[12, 99]","[112, 486]",9,-2.8657756342246616e-06,-2.7555123316978557e-06,0.996043425451937,0.9921888826565273,0.001957913717466231,0.001957913717466231,0.001957913717466231,0.0003801584243774414,0.00026994943618774414,1.0,1.0,0.013444806449115276,0.002567728515714407,94392.75499519972,24288.023153951384,-14806.071898162365,14928.154748022556,120.37220060825348,1.1731066379143158,0.13159407117200317
19000,0.022859619930386543,0.004100750666111708,1,"[12, 103]","[116, 486]",9,-3.1234219796076803e-06,-2.7526167753798834e-06,0.9592855526069057,0.9926150380257883,0.0019526189355981716,0.0019459431627574242,0.0019526189355981716,0.0003495514392852783,0.00027173757553100586,1.0,1.0,0.016355814412236214,0.002960117533802986,93498.05333920066,25177.58154531031,-15700.643379986286,15817.738931894302,115.90274798870087,1.3032808130519697,0.15738658399277483
20000,0.023953121155500412,0.004106186330318451,1,"[12, 107]","[119, 486]",8,-2.590611510286013e-06,-2.7539570189157573e-06,0.971703364530287,0.9844209878370536,0.0019301029559334326,0.0019301029559334326,0.001931649932341184,0.0003795623779296875,0.00026938319206237793,1.0,1.0,0.01637069135904312,0.0023706862702965736,92602.02682595956,26067.09682024319,-16596.544377744198,16707.28157132864,110.04398608207703,1.4287962962407619,0.184751085449534
