t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
7250,81.78917,243.21118,81.78882,0.00035095215,-80.711006,83.15499877929688,242.84507751464844,1.0000762939453125,6.751115123430887e-05
7500,81.78646,243.2139,81.7861,0.00035858154,-80.713715,83.15242767333984,242.84764099121094,1.0000686645507812,6.770345692833265e-05
7750,81.78493,243.21545,81.784546,0.00038146973,-80.71526,83.15094757080078,242.8491439819336,1.000091552734375,6.808335582415263e-05
8000,81.78301,243.21738,81.78262,0.00038909912,-80.71718,83.14916229248047,242.85094451904297,1.0001068115234375,6.835165123144786e-05
8250,81.78095,243.21945,81.78055,0.0004043579,-80.71925,83.14718627929688,242.8529052734375,1.000091552734375,6.842813144127528e-05
8500,81.77947,243.22093,81.77907,0.0004043579,-80.72073,83.14581298828125,242.85427856445312,1.000091552734375,6.864198173085848e-05
8750,81.777275,243.22313,81.77687,0.0004043579,-80.72293,83.14374542236328,242.85635375976562,1.0000991821289062,6.872899830341339e-05
9000,81.77584,243.22476,81.77524,0.00060272217,-80.72446,83.1424789428711,242.85763549804688,1.0001144409179688,6.906339277823765e-05
9250,81.773476,243.22699,81.77301,0.00046539307,-80.72676,83.14060974121094,242.85948181152344,1.000091552734375,6.909952188531557e-05
9500,81.771706,243.22879,81.77121,0.00049591064,-80.728546,83.13919830322266,242.8608856201172,1.0000839233398438,6.897335251172384e-05
9750,81.76976,243.23076,81.76924,0.0005187988,-80.7305,83.13764953613281,242.8624496459961,1.0000991821289062,6.901230042179425e-05
10000,81.767784,243.23276,81.76724,0.000541687,-80.73248,83.13607788085938,242.86404418945312,1.0001220703125,6.927475954095522e-05
10250,81.766,243.2345,81.7655,0.00049591064,-80.73425,83.134765625,242.86539459228516,1.0001602172851562,7.327810550729433e-05
10500,81.764015,243.23653,81.76347,0.000541687,-80.73625,83.13312530517578,242.86701202392578,1.0001373291015625,6.997598335146904e-05
