t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
11000,38376,38337.4765625,38465.76171875,1,38376,1.003252625465393,0.33441754182179767,146,79,246,276,276,0.9355782866477966,1.0072239637374878,0.025251541286706924,0.001502115512266755,0.8894116282463074,1.0072239637374878
12000,38376,38340.05859375,38468.484375,1,38376,1.003264307975769,0.33442143599192303,146,79,246,276,276,0.9350852370262146,1.0072203874588013,0.02519446425139904,0.0015025438042357564,0.8896433115005493,1.0072203874588013
13000,38376,38342.52734375,38471.03515625,1,38376,1.0032745599746704,0.33442485332489014,146,79,246,276,276,0.9430807828903198,1.0073580741882324,0.02526838146150112,0.0015020620776340365,0.8898611664772034,1.0073580741882324
14000,38376,38344.84375,38473.4296875,1,38376,1.0032837390899658,0.3344279130299886,146,79,246,276,276,0.9380082488059998,1.0070053339004517,0.025219328701496124,0.0015018084086477757,0.8900713324546814,1.0070053339004517
15000,38376,38347.0234375,38475.68359375,1,38376,1.003292441368103,0.3344308137893677,146,79,246,276,276,0.938437283039093,1.0072168111801147,0.025238292291760445,0.0015023831510916352,0.8902634978294373,1.0072168111801147
16000,38376,38349.05078125,38477.8125,1,38376,1.0033015012741089,0.3344338337580363,146,79,246,276,276,0.9388437271118164,1.0073615312576294,0.025358987972140312,0.0015023838495835662,0.8902888894081116,1.0073615312576294
17000,38376,38350.9921875,38479.82421875,1,38376,1.0033092498779297,0.33443641662597656,146,79,246,276,276,0.9392297863960266,1.0073573589324951,0.025130242109298706,0.001502510509453714,0.8901939988136292,1.0073573589324951
18000,38376,38352.81640625,38481.70703125,1,38376,1.0033165216445923,0.33443884054819745,146,79,246,276,276,0.9395872354507446,1.0070816278457642,0.025243135169148445,0.0015025566099211574,0.8900935053825378,1.0070816278457642
19000,38376,38354.5,38483.48828125,1,38376,1.0033245086669922,0.3344415028889974,146,79,246,276,276,0.9399197101593018,1.0068575143814087,0.025369442999362946,0.0015025432221591473,0.889998733997345,1.0068575143814087
20000,38376,38356.12109375,38485.15234375,1,38376,1.0033305883407593,0.33444352944691974,146,79,246,276,276,0.9402081370353699,1.0073398351669312,0.025211842730641365,0.0015023850137367845,0.8899110555648804,1.0073398351669312
21000,38376,38357.6171875,38486.70703125,1,38376,1.0033365488052368,0.3344455162684123,146,79,246,276,276,0.9402837157249451,1.0073127746582031,0.025223422795534134,0.001502453931607306,0.8898330330848694,1.0073127746582031
22000,38376,38359.0234375,38488.15234375,1,38376,1.003341794013977,0.3344472646713257,146,79,246,276,276,0.9400394558906555,1.0071855783462524,0.025218477472662926,0.0015022387960925698,0.889763355255127,1.0071855783462524
23000,38376,38360.359375,38489.5390625,1,38376,1.0033471584320068,0.33444905281066895,146,79,246,276,276,0.9397996664047241,1.0071849822998047,0.02521822415292263,0.0015030545182526112,0.8896958827972412,1.0071849822998047
24000,38376,38361.60546875,38490.828125,1,38376,1.0033516883850098,0.33445056279500324,146,79,246,276,276,0.9395750164985657,1.0072604417800903,0.02520603872835636,0.0015027867630124092,0.8896279335021973,1.0072604417800903
25000,38376,38362.75390625,38492.05078125,1,38376,1.0033574104309082,0.33445247014363605,146,79,246,276,276,0.9393712878227234,1.0069639682769775,0.025360045954585075,0.0015027952613309026,0.8895684480667114,1.0069639682769775
26000,38376,38363.93359375,38493.1953125,1,38376,1.0033591985702515,0.3344530661900838,146,79,246,276,276,0.9392111897468567,1.0072613954544067,0.025374991819262505,0.001504753716289997,0.8895258903503418,1.0072613954544067
27000,38376,38364.9453125,38494.2734375,1,38376,1.0033645629882812,0.33445485432942706,146,79,246,276,276,0.9390508532524109,1.007259726524353,0.025311212986707687,0.0015023407759144902,0.8894788026809692,1.007259726524353
28000,38376,38365.9140625,38495.27734375,1,38376,1.0033680200576782,0.33445600668589276,146,79,246,276,276,0.9388821125030518,1.0071516036987305,0.025248482823371887,0.00150289514567703,0.8894336223602295,1.0071516036987305
29000,38400,38366.8359375,38496.234375,1,38400,1.0032997131347656,0.33443323771158856,146,79,246,288,288,0.9387403130531311,1.0072498321533203,0.02524683251976967,0.0015034169191494584,0.8894171118736267,1.0072498321533203
30000,38400,38367.69921875,38497.1328125,1,38400,1.0033031702041626,0.3344343900680542,146,79,246,288,288,0.9386016130447388,1.0071967840194702,0.025160325691103935,0.0015030612703412771,0.8894780278205872,1.0071967840194702
