step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
9800,2.880425743824e+04,2.880425743824e+04,1.920145074256e+04,9.601283752396e+03,0.000000000000e+00,0.000000000000e+00,2.880425745499e+04,0.000000000000e+00,1.522943284310e+00,-1.675076782703e-05,-1.522960035079e+00
10000,2.880434660728e+04,2.880434660728e+04,1.920147640190e+04,9.601301611683e+03,0.000000000000e+00,0.000000000000e+00,2.880434660327e+04,0.000000000000e+00,1.568593694759e+00,4.002824425697e-06,-1.568589691935e+00
10200,2.880443549529e+04,2.880443549529e+04,1.920150106887e+04,9.601319516776e+03,0.000000000000e+00,0.000000000000e+00,2.880443552113e+04,0.000000000000e+00,1.614909636384e+00,-2.583861351013e-05,-1.614935474998e+00
10400,2.880452397575e+04,2.880452397575e+04,1.920152628424e+04,9.601337830041e+03,0.000000000000e+00,0.000000000000e+00,2.880452399015e+04,0.000000000000e+00,1.659861471884e+00,-1.440010964870e-05,-1.659875871992e+00
10600,2.880461304620e+04,2.880461304620e+04,1.920155267676e+04,9.601356143045e+03,0.000000000000e+00,0.000000000000e+00,2.880461306411e+04,0.000000000000e+00,1.704226395104e+00,-1.791305840015e-05,-1.704244308163e+00
10800,2.880470341216e+04,2.880470341216e+04,1.920157851499e+04,9.601374204804e+03,0.000000000000e+00,0.000000000000e+00,2.880470343071e+04,0.000000000000e+00,1.750692367368e+00,-1.855008304119e-05,-1.750710917451e+00
11000,2.880479263395e+04,2.880479263395e+04,1.920160411467e+04,9.601392248669e+03,0.000000000000e+00,0.000000000000e+00,2.880479264098e+04,0.000000000000e+00,1.796270611438e+00,-7.037073373795e-06,-1.796277648511e+00
11200,2.880488206904e+04,2.880488206904e+04,1.920162955895e+04,9.601410433899e+03,0.000000000000e+00,0.000000000000e+00,2.880488206804e+04,0.000000000000e+00,1.842076193374e+00,1.002103090286e-06,-1.842075191271e+00
11400,2.880497124877e+04,2.880497124877e+04,1.920165541182e+04,9.601428597564e+03,0.000000000000e+00,0.000000000000e+00,2.880497126091e+04,0.000000000000e+00,1.887239386280e+00,-1.213327050209e-05,-1.887251519551e+00
11600,2.880506089351e+04,2.880506089351e+04,1.920168050191e+04,9.601446741118e+03,0.000000000000e+00,0.000000000000e+00,2.880506091195e+04,0.000000000000e+00,1.933650488088e+00,-1.844018697739e-05,-1.933668928275e+00
11800,2.880515016631e+04,2.880515016631e+04,1.920170586775e+04,9.601464678145e+03,0.000000000000e+00,0.000000000000e+00,2.880515019619e+04,0.000000000000e+00,1.979620416196e+00,-2.988800406456e-05,-1.979650304202e+00
12000,2.880523965063e+04,2.880523965063e+04,1.920173061769e+04,9.601482345734e+03,0.000000000000e+00,0.000000000000e+00,2.880523968548e+04,0.000000000000e+00,2.026687197322e+00,-3.485009074211e-05,-2.026722047412e+00
