x,Req_r,R_r,dacc_r,net_r,cc,chi
20,1.929759432444e-09,-5.170586518351e-10,9.528235892768e-11,-2.123629604785e-05,3.062684049942e-01,1.046735432236e-01
21,4.292521651493e-09,-7.881388923801e-10,-3.063027941552e-10,-3.203166987381e-05,3.603073178016e-01,9.725030501673e-02
22,7.132650421098e-09,-2.001527796210e-10,-1.893918275772e-09,-2.190649220392e-05,2.696425405035e-01,6.239058265415e-02
23,7.617356901767e-09,-8.125033974562e-10,-4.311400266962e-10,-2.089585962732e-05,2.032596270206e-01,4.891153792358e-02
24,8.346480824358e-09,-2.428897003654e-09,-6.031056913140e-10,-1.873944754640e-05,1.739693836698e-01,4.373390088332e-02
25,9.072603764556e-09,-1.500456678711e-09,-1.045936701500e-09,-1.733216985999e-05,1.517628467229e-01,3.871013979716e-02
26,9.656956746661e-09,-4.408703070890e-10,-1.073549092457e-09,-1.455649625564e-05,1.214814389499e-01,3.554334878436e-02
27,1.103688956009e-08,-8.162240429437e-10,-1.153223464549e-09,-7.250573000182e-06,1.036997045374e-01,2.922068662890e-02
28,1.108223248435e-08,-3.769789633436e-10,-2.802614514055e-10,-4.075402798860e-06,7.512853466292e-02,2.507185327997e-02
29,1.251717786426e-08,-1.404070011947e-09,-2.424644333297e-09,-3.280555424483e-06,5.003562725647e-02,7.131852508721e-03
30,1.181446798686e-08,-1.086374285860e-09,-1.847629259894e-09,-2.416606614555e-06,3.450495109707e-03,2.420156754076e-03
31,1.129566057437e-08,-1.337932611721e-09,-1.285461357970e-09,-1.956959781439e-06,2.042185508161e-03,1.811809655741e-03
32,1.161335630045e-08,-1.348055683184e-10,-2.454844829829e-09,-1.493080154709e-06,1.614237295726e-03,1.410295355409e-03
33,9.203896574352e-09,-9.961102319800e-10,-9.863245962323e-10,-1.029605450838e-06,1.254482343065e-03,1.052912392830e-03
34,2.718044687872e-09,-1.744542648827e-10,-1.263528036467e-09,-5.632692920989e-07,9.527788390662e-04,7.657926367991e-04
35,3.423285333143e-09,-4.420407872269e-11,-8.763205529987e-10,-9.187429711439e-08,7.142746834248e-04,5.420714906458e-04
36,3.804418973733e-09,8.228369921014e-10,-4.837140980838e-10,3.886665555014e-07,5.266958342176e-04,3.659609875920e-04
37,5.083806488825e-09,5.999607020530e-10,-4.226382335891e-10,8.756861738537e-07,3.789959589625e-04,2.273358774907e-04
38,4.300786911146e-09,-9.429641067982e-10,-4.263500264589e-10,1.369875626288e-06,2.643193880506e-04,1.200822169712e-04
39,3.636713423159e-09,5.188074124896e-10,-6.428150379139e-11,1.867644596791e-06,1.778748309061e-04,4.095567058697e-05
40,2.977870188761e-09,4.052602942439e-10,-8.719338886980e-10,2.373020718063e-06,1.160713525850e-04,-1.446894630332e-05
41,3.052612199731e-09,1.479655612206e-10,-1.020911757065e-09,2.874725538751e-06,7.509407999893e-05,-4.951660027884e-05
42,3.526709379925e-09,1.896220002917e-09,-1.221348572036e-09,3.387962562450e-06,5.000433999961e-05,-6.853595587862e-05
43,3.967737860006e-09,2.168024471705e-10,-7.150262810182e-10,3.890423239141e-06,3.764507971482e-05,-7.718855715391e-05
44,2.175616775302e-09,-2.863142045512e-10,7.386467810990e-10,4.401684239291e-06,3.260625093739e-05,-7.889992637759e-05
45,5.703338462373e-09,-6.215565878412e-10,-3.256254654000e-11,4.905721415644e-06,3.265300502696e-05,-7.940262639982e-05
46,5.534958040369e-09,5.500202161678e-11,-2.206998296838e-09,5.403323018033e-06,3.249896484435e-05,-7.918594122521e-05
47,4.061038835325e-09,1.555916083896e-09,-6.185196664022e-10,5.895957566690e-06,3.279118416494e-05,-7.957421381267e-05
48,5.091904945995e-09,1.210044475569e-09,-1.011294839175e-09,6.366121596184e-06,3.256169561807e-05,-7.942872952856e-05
49,6.505760593691e-09,-3.644305726756e-10,-1.047737896442e-09,6.828511106795e-06,3.268059493848e-05,-7.961026815784e-05
50,6.768623016019e-09,3.951372227807e-10,4.229756693045e-10,7.265568643376e-06,3.256143232891e-05,-7.959019064421e-05
51,6.268543285736e-09,1.650060648504e-10,-8.557369743568e-10,7.686774799789e-06,3.258838825121e-05,-7.960892174287e-05
52,5.859739916480e-09,-1.925070756587e-10,-1.826370809821e-09,8.080705352451e-06,3.254069765190e-05,-7.968014262779e-05
53,7.006177759689e-09,3.627433940984e-10,-5.304489446723e-10,8.451776660007e-06,3.255345768890e-05,-7.959356358867e-05
54,9.552805104117e-09,1.753990848859e-09,-2.327462847250e-09,8.790767279224e-06,3.248280979931e-05,-7.969316507071e-05
55,1.101373303412e-08,5.921996805979e-11,-3.348205886457e-09,9.102115164632e-06,3.252900802491e-05,-7.959131363923e-05
56,1.322343081668e-08,-1.822152863378e-10,-4.128525978413e-10,9.376642064772e-06,3.241631532503e-05,-7.964075162109e-05
57,1.890500467541e-08,-4.017172192318e-10,-2.294394147137e-09,9.619066680687e-06,3.253594695460e-05,-7.958280473984e-05
58,1.897080463992e-08,1.135302464599e-09,-3.355460754339e-09,9.822705085727e-06,3.233576454754e-05,-7.955917790792e-05
59,1.586082836856e-08,-5.763402019722e-10,-1.943123567363e-09,9.989004204239e-06,3.252345013343e-05,-7.958067295107e-05
60,1.356305986427e-08,4.943433231202e-11,-2.069999396369e-09,1.011521056078e-05,3.227882338568e-05,-7.946539783701e-05
61,1.266413111834e-08,-1.327809540258e-10,-3.068134242642e-09,1.019895940587e-05,3.252675277726e-05,-7.955830607963e-05
62,1.243214406397e-08,9.242364245912e-10,-2.186752153911e-09,1.024376007094e-05,3.222578604858e-05,-7.938695360715e-05
63,1.199600840176e-08,1.992557899676e-10,-2.230450079061e-09,1.024274506431e-05,3.250802823198e-05,-7.953452592633e-05
64,1.246217584264e-08,3.603813440903e-10,-2.280390564946e-09,1.020297624063e-05,3.221027912256e-05,-7.931676864072e-05
65,1.378593615432e-08,2.952562510103e-10,-1.053305585747e-09,1.011746733085e-05,3.250168431812e-05,-7.949273354230e-05
66,1.584598119708e-08,-9.853122890859e-10,-1.673174995011e-09,9.995148233745e-06,3.220412890734e-05,-7.927993659367e-05
67,1.875214629631e-08,-1.002690228431e-09,-1.594046319740e-09,9.828719539919e-06,3.247677234149e-05,-7.944872530475e-05
68,1.858359715645e-08,-1.082156339417e-09,-2.693243162787e-09,9.629292332608e-06,3.224915161796e-05,-7.926562922638e-05
69,1.327775796686e-08,5.874755805817e-10,-3.595040112302e-09,9.385075258172e-06,3.245438923432e-05,-7.938762167962e-05
70,1.110720272729e-08,5.819078912770e-10,-2.396805886773e-09,9.115968925366e-06,3.231998794250e-05,-7.930919492437e-05
71,9.679512215265e-09,2.340116686579e-10,-2.390732043895e-09,8.799438027368e-06,3.238615806707e-05,-7.930327068135e-05
72,7.072652595631e-09,6.910683452219e-10,-7.324042203634e-10,8.468675440636e-06,3.248282204058e-05,-7.940896196327e-05
73,6.135424895995e-09,8.147385349308e-10,-4.337736121986e-10,8.087292097617e-06,3.225820352330e-05,-7.916893716885e-05
74,6.079241849374e-09,3.698295441227e-10,-7.280175560626e-10,7.702043091041e-06,3.270143620498e-05,-7.956193279893e-05
75,6.661824612082e-09,-1.462783826434e-10,1.520147898059e-10,7.270298142364e-06,3.208210249848e-05,-7.899026619119e-05
76,6.229400742745e-09,-7.379719096681e-10,6.974796238153e-10,6.830919048061e-06,3.294584218163e-05,-7.962343800045e-05
77,4.579002658526e-09,-1.909886149393e-10,-6.696411772915e-10,6.372308817463e-06,3.201117079381e-05,-7.888479467968e-05
78,3.977186060038e-09,-1.041157899991e-09,-3.543075012124e-10,5.886498568715e-06,3.307722544142e-05,-7.949586106374e-05
79,4.853337895179e-09,-1.468857669312e-09,-2.245634686256e-10,5.415535491446e-06,3.215758802236e-05,-7.888982202154e-05
80,5.361178646917e-09,1.395634119061e-09,2.701172902100e-10,4.900516807169e-06,3.275813447615e-05,-7.933996524165e-05
