t,x_vol,x_cross
52250,233.62106119791667,231.0
52500,234.58274739583334,232.0
52750,235.544482421875,233.0
53000,236.50638020833333,234.0
53250,237.46837565104167,235.0
53500,238.43072916666668,236.0
53750,239.39337565104168,237.0
54000,240.35621744791666,238.0
54250,241.31920572916667,239.0
54500,242.28268229166667,240.0
54750,243.24617513020834,241.0
55000,244.20947265625,242.0
55250,245.17312825520833,242.0
55500,246.13727213541668,243.0
55750,247.10172526041666,244.0
56000,248.06629231770833,245.0
56250,249.03111979166667,246.0
56500,249.996142578125,247.0
56750,250.961181640625,248.0
57000,251.926416015625,249.0
57250,252.89231770833334,250.0
57500,253.85861002604167,251.0
57750,254.82503255208334,252.0
58000,255.79163411458333,253.0
58250,256.75838216145837,254.0
58500,257.72548828125,255.0
58750,258.69287109375,256.0
59000,259.6600423177083,257.0
59250,260.627734375,258.0
59500,261.595556640625,259.0
59750,262.56354166666665,260.0
60000,263.5317057291667,261.0
