x,Req_r,R_r,dacc_r,net_r,cc,chi
16,7.311482521581e-20,7.311482521581e-20,-1.594304236276e-20,-1.655576800206e-14,0.000000000000e+00,7.645762317448e-12
17,7.436125772638e-20,7.436125772638e-20,-1.423427103514e-20,-1.631925908607e-14,0.000000000000e+00,7.545323247835e-12
18,7.874994718435e-20,7.874994718435e-20,-1.039615299290e-20,-1.585056317382e-14,0.000000000000e+00,7.346928094978e-12
19,1.033550778674e-19,1.033550778674e-19,6.820968094695e-21,-1.514970083880e-14,0.000000000000e+00,7.053394849500e-12
20,1.082996326970e-19,1.082996326970e-19,3.765767311335e-21,-1.422508558399e-14,0.000000000000e+00,6.668936903680e-12
21,1.094160691789e-19,1.094160691789e-19,1.187316669467e-20,-1.310836143091e-14,0.000000000000e+00,6.199113369566e-12
22,1.090872556945e-19,1.090872556945e-19,1.829179413942e-20,-1.187843303732e-14,0.000000000000e+00,5.650634342399e-12
23,5.887702487672e-20,5.887702487672e-20,3.161079901767e-20,-1.068946870054e-14,0.000000000000e+00,5.030889694257e-12
24,5.729883779513e-20,5.729883779513e-20,1.119701088018e-20,-9.776877624276e-15,0.000000000000e+00,4.347022130812e-12
25,4.723708635120e-20,4.723708635120e-20,-1.808150644592e-20,-9.362767827987e-15,0.000000000000e+00,3.604513936014e-12
26,4.769530764697e-20,4.769530764697e-20,7.671971508890e-21,-9.354247711800e-15,0.000000000000e+00,2.805853916466e-12
27,2.193535930160e-20,2.193535930160e-20,-5.168739157390e-21,-9.006534098919e-15,0.000000000000e+00,1.951095281193e-12
28,1.158751365647e-20,1.158751365647e-20,-9.094339093939e-23,-4.129224532672e-15,0.000000000000e+00,1.042326606895e-12
29,1.954018982532e-19,-7.296355278551e-20,1.422402368627e-21,-8.532980655063e-15,9.028366366112e-07,1.534950017535e-11
30,1.233786241023e-14,-1.114717807148e-15,-6.022899589846e-16,-5.524208449968e-09,2.500003307114e-01,9.132566631578e-07
31,2.699602595789e-09,-1.372893882005e-09,-1.928146430961e-09,-1.517227954335e-07,7.499978182630e-01,2.500003238887e-01
32,9.697881372025e-09,1.615323223329e-08,-9.345482491578e-09,-5.828552982873e-07,7.499988449893e-01,2.500012919946e-01
33,1.103010921118e-08,9.517760999087e-10,3.468206462761e-09,-8.639517343707e-07,2.500013005635e-01,8.544068879949e-07
