step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
12400,2.879999766139e+04,2.879999766139e+04,1.920014781424e+04,9.599854990052e+03,0.000000000000e+00,0.000000000000e+00,2.879999764967e+04,0.000000000000e+00,-5.142894333403e-03,1.172535121441e-05,5.154619684618e-03
12600,2.879999708707e+04,2.879999708707e+04,1.920015061222e+04,9.599851334577e+03,0.000000000000e+00,0.000000000000e+00,2.879999707872e+04,0.000000000000e+00,-4.859730810495e-03,8.353963494301e-06,4.868084775808e-03
12800,2.879999701271e+04,2.879999701271e+04,1.920015353234e+04,9.599847736025e+03,0.000000000000e+00,0.000000000000e+00,2.879999701440e+04,0.000000000000e+00,-4.255655034285e-03,-1.696869730949e-06,4.253958162735e-03
13000,2.879999668372e+04,2.879999668372e+04,1.920015563432e+04,9.599844414703e+03,0.000000000000e+00,0.000000000000e+00,2.879999669582e+04,0.000000000000e+00,-3.365296059201e-03,-1.209415495396e-05,3.353201904247e-03
13200,2.879999627995e+04,2.879999627995e+04,1.920015815400e+04,9.599841917852e+03,0.000000000000e+00,0.000000000000e+00,2.879999625683e+04,0.000000000000e+00,-3.791909648498e-03,2.311728894711e-05,3.815026939264e-03
13400,2.879999637399e+04,2.879999637399e+04,1.920016084955e+04,9.599839072114e+03,0.000000000000e+00,0.000000000000e+00,2.879999639082e+04,0.000000000000e+00,-3.547669115505e-03,-1.682713627815e-05,3.530841979227e-03
13600,2.879999565353e+04,2.879999565353e+04,1.920016346879e+04,9.599836671449e+03,0.000000000000e+00,0.000000000000e+00,2.879999564117e+04,0.000000000000e+00,-4.486709372941e-03,1.236237585545e-05,4.499071750615e-03
13800,2.879999566528e+04,2.879999566528e+04,1.920016537534e+04,9.599834179814e+03,0.000000000000e+00,0.000000000000e+00,2.879999566692e+04,0.000000000000e+00,-3.889869261911e-03,-1.640990376472e-06,3.888228271535e-03
14000,2.879999548598e+04,2.879999548598e+04,1.920016732582e+04,9.599831575115e+03,0.000000000000e+00,0.000000000000e+00,2.879999546391e+04,0.000000000000e+00,-3.414954991968e-03,2.207048237324e-05,3.437025472522e-03
14200,2.879999534136e+04,2.879999534136e+04,1.920016980560e+04,9.599829245110e+03,0.000000000000e+00,0.000000000000e+00,2.879999533379e+04,0.000000000000e+00,-3.709353597515e-03,7.566064596176e-06,3.716919662111e-03
14400,2.879999560617e+04,2.879999560617e+04,1.920017250987e+04,9.599826735073e+03,0.000000000000e+00,0.000000000000e+00,2.879999560219e+04,0.000000000000e+00,-3.638779824541e-03,3.976747393608e-06,3.642756571935e-03
14600,2.879999557626e+04,2.879999557626e+04,1.920017467894e+04,9.599824398739e+03,0.000000000000e+00,0.000000000000e+00,2.879999558473e+04,0.000000000000e+00,-3.501416103973e-03,-8.467584848404e-06,3.492948519124e-03
14800,2.879999521050e+04,2.879999521050e+04,1.920017677329e+04,9.599822295348e+03,0.000000000000e+00,0.000000000000e+00,2.879999521154e+04,0.000000000000e+00,-3.858135212795e-03,-1.041218638420e-06,3.857093994156e-03
15000,2.879999502142e+04,2.879999502142e+04,1.920017890598e+04,9.599820360992e+03,0.000000000000e+00,0.000000000000e+00,2.879999502748e+04,0.000000000000e+00,-4.245554209774e-03,-6.062909960747e-06,4.239491299813e-03
15200,2.879999486009e+04,2.879999486009e+04,1.920018043256e+04,9.599818280482e+03,0.000000000000e+00,0.000000000000e+00,2.879999487513e+04,0.000000000000e+00,-3.852949168504e-03,-1.504085958004e-05,3.837908308924e-03
