step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
1100,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1200,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1300,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1400,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1500,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1600,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1700,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1800,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1900,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2000,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2100,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2200,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2300,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2400,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
2500,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
