step,umax,p_liq,p_gas,Pc,psi_mean_liq_band,psi_mean_gas_band
11000,0.02520531229674816,0.33284078041712445,0.3351234992345174,0.002282718817392948,-1.0005028247833252,0.9998167157173157
11250,0.025247612968087196,0.3328418930371602,0.33512481053670246,0.0022829174995422363,-1.000503659248352,0.9998180866241455
11500,0.0252638291567564,0.33284298578898114,0.33512604236602783,0.0022830565770466937,-1.000504732131958,0.9998194575309753
11750,0.025270743295550346,0.3328441381454468,0.3351273536682129,0.0022832155227661133,-1.000505805015564,0.9998205304145813
12000,0.025251479819417,0.3328453302383423,0.33512866497039795,0.002283334732055664,-1.0005059242248535,0.999821662902832
12250,0.02525964379310608,0.3328465024630229,0.33512985706329346,0.0022833546002705707,-1.0005064010620117,0.9998224973678589
12500,0.025277622044086456,0.33284761508305866,0.33513112862904865,0.0022835135459899902,-1.0005072355270386,0.9998230934143066
12750,0.025303497910499573,0.33284886678059894,0.3351324399312337,0.0022835731506347656,-1.0005074739456177,0.9998236298561096
13000,0.025327293202280998,0.33285001913706463,0.3351335922876994,0.0022835731506347656,-1.0005080699920654,0.9998242259025574
13250,0.025319520384073257,0.3328511913617452,0.3351348241170247,0.002283632755279541,-1.000508189201355,0.9998245239257812
13500,0.025275204330682755,0.3328522245089213,0.3351362148920695,0.0022839903831481934,-1.0005086660385132,0.9998248219490051
