x,psi_midslice
305,-1.0004879236221313
306,-1.0004974603652954
307,-1.0004968643188477
308,-1.0004831552505493
309,-1.0004830360412598
310,-1.0005028247833252
311,-1.0005019903182983
312,-1.0004749298095703
313,-1.000474214553833
314,-1.0005098581314087
315,-1.0005085468292236
316,-1.0004665851593018
317,-1.0004637241363525
318,-1.0005121231079102
319,-1.0005056858062744
320,-1.0004651546478271
321,-1.0004714727401733
322,-1.000505805015564
323,0.0
324,0.0
325,0.0
