t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
33000,38400,38370.765625,38500.19140625,1,38400,1.0033115148544312,0.33443717161814374,146,79,246,288,288,0.9381733536720276,1.0071399211883545,0.025187373161315918,0.001503549749031663,0.8896492719650269,1.0071399211883545
34000,38400,38371.46484375,38500.91015625,1,38400,1.0033138990402222,0.3344379663467407,146,79,246,288,288,0.9380619525909424,1.0070993900299072,0.025312896817922592,0.0015024635940790176,0.8897048234939575,1.0070993900299072
35000,38400,38372.12890625,38501.60546875,1,38400,1.0033162832260132,0.3344387610753377,146,79,246,288,288,0.9379668235778809,1.0071080923080444,0.025227302685379982,0.0015031557995826006,0.8897562623023987,1.0071080923080444
36000,38400,38372.78125,38502.25,1,38400,1.0033178329467773,0.3344392776489258,146,79,246,288,288,0.9378573894500732,1.0071659088134766,0.0252390056848526,0.001503707724623382,0.8898041844367981,1.0071659088134766
37000,38400,38373.375,38502.8828125,1,38400,1.0033202171325684,0.33444007237752277,146,79,246,288,288,0.937758207321167,1.007175326347351,0.02526470459997654,0.0015039130812510848,0.8898446559906006,1.007175326347351
38000,38400,38373.91796875,38503.46484375,1,38400,1.0033230781555176,0.3344410260518392,146,79,246,288,288,0.9376644492149353,1.0071871280670166,0.025278376415371895,0.0015032201772555709,0.8898857831954956,1.0071871280670166
39000,38400,38374.45703125,38504.015625,1,38400,1.0033248662948608,0.33444162209828693,146,79,246,288,288,0.9375794529914856,1.0071406364440918,0.025264926254749298,0.0015034431125968695,0.8899243474006653,1.0071406364440918
40000,38400,38374.9609375,38504.5390625,1,38400,1.0033265352249146,0.33444217840830487,146,79,246,288,288,0.9375011920928955,1.0071355104446411,0.02521100454032421,0.0015037349658086896,0.8899653553962708,1.0071355104446411
41000,38400,38375.43359375,38505.03515625,1,38400,1.0033286809921265,0.3344428936640422,146,79,246,288,288,0.9374260306358337,1.0071337223052979,0.025495154783129692,0.0015058319550007582,0.8900032043457031,1.0071337223052979
42000,38400,38375.8828125,38505.49609375,1,38400,1.0033302307128906,0.3344434102376302,146,79,246,288,288,0.937346875667572,1.0071433782577515,0.025285979732871056,0.0015052225207909942,0.8900392651557922,1.0071433782577515
43000,38400,38376.30859375,38505.94140625,1,38400,1.0033317804336548,0.33444392681121826,146,79,246,288,288,0.937274158000946,1.0071407556533813,0.025416266173124313,0.0015049263602122664,0.8900711536407471,1.0071407556533813
44000,38400,38376.69140625,38506.34765625,1,38400,1.003333568572998,0.334444522857666,146,79,246,288,288,0.937209963798523,1.0071313381195068,0.02551260031759739,0.0015056569827720523,0.8900991678237915,1.0071313381195068
45000,38400,38377.08984375,38506.74609375,1,38400,1.003334641456604,0.33444488048553467,146,79,246,288,288,0.9371587634086609,1.0071325302124023,0.025521334260702133,0.0015060530276969075,0.8901149034500122,1.0071325302124023
46000,38400,38377.4609375,38507.1171875,1,38400,1.0033354759216309,0.33444515864054364,146,79,246,288,288,0.9371679425239563,1.007132887840271,0.02552458643913269,0.0015063147293403745,0.8901302814483643,1.007132887840271
47000,38400,38377.81640625,38507.45703125,1,38400,1.0033361911773682,0.33444539705912274,146,79,246,288,288,0.9374063611030579,1.0071333646774292,0.025527453050017357,0.0015065374318510294,0.8901441693305969,1.0071333646774292
48000,38400,38378.1484375,38507.78515625,1,38400,1.003336787223816,0.334445595741272,146,79,246,288,288,0.9373759627342224,1.0071332454681396,0.025530464947223663,0.0015067456988617778,0.8901572227478027,1.0071332454681396
49000,38400,38378.4609375,38508.09375,1,38400,1.0033373832702637,0.3344457944234212,146,79,246,288,288,0.9373452663421631,1.00713312625885,0.025533458217978477,0.0015069273067638278,0.8901705741882324,1.00713312625885
50000,38400,38378.765625,38508.390625,1,38400,1.003338098526001,0.3344460328420003,146,79,246,288,288,0.937315821647644,1.0071338415145874,0.02553652971982956,0.001507110078819096,0.8901830911636353,1.0071338415145874
51000,38400,38379.046875,38508.671875,1,38400,1.0033386945724487,0.3344462315241496,146,79,246,288,288,0.937289297580719,1.0071337223052979,0.02553965523838997,0.0015072773676365614,0.890195369720459,1.0071337223052979
52000,38400,38379.3125,38508.94140625,1,38400,1.0033392906188965,0.33444643020629883,146,79,246,288,288,0.9372613430023193,1.0071337223052979,0.02554251253604889,0.0015075256815180182,0.8902113437652588,1.0071337223052979
53000,38400,38379.58203125,38509.19921875,1,38400,1.0033398866653442,0.33444662888844806,146,79,246,288,288,0.9372317790985107,1.0071439743041992,0.025523776188492775,0.0015061747981235385,0.8902224898338318,1.0071439743041992
54000,38400,38379.8203125,38509.44921875,1,38400,1.0033410787582397,0.3344470262527466,146,79,246,288,288,0.9371929168701172,1.0071405172348022,0.025426223874092102,0.0015059466240927577,0.8902458548545837,1.0071405172348022
55000,38400,38380.03515625,38509.6796875,1,38400,1.0033420324325562,0.33444734414418537,146,79,246,288,288,0.937151312828064,1.007135033607483,0.025396734476089478,0.0015062052989378572,0.8902604579925537,1.007135033607483
56000,38400,38380.2421875,38509.890625,1,38400,1.0033422708511353,0.3344474236170451,146,79,246,288,288,0.9371148347854614,1.0071277618408203,0.0254745502024889,0.0015056406846269965,0.8902735114097595,1.0071277618408203
57000,38400,38380.4453125,38510.1015625,1,38400,1.0033433437347412,0.33444778124491376,146,79,246,288,288,0.937074601650238,1.0071030855178833,0.0253297109156847,0.0015055987751111388,0.8902949690818787,1.0071030855178833
58000,38400,38380.625,38510.30078125,1,38400,1.0033442974090576,0.33444809913635254,146,79,246,288,288,0.9370402097702026,1.0071321725845337,0.02543276734650135,0.0015053718816488981,0.8903059959411621,1.0071321725845337
59000,38400,38380.8203125,38510.4921875,1,38400,1.0033445358276367,0.3344481786092122,146,79,246,288,288,0.9370067715644836,1.0071345567703247,0.025357140228152275,0.0015064328908920288,0.8903182148933411,1.0071345567703247
60000,38400,38380.984375,38510.66015625,1,38400,1.0033453702926636,0.3344484567642212,146,79,246,288,288,0.9369785785675049,1.007132649421692,0.025347905233502388,0.0015051212394610047,0.890329122543335,1.007132649421692
