t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
6000,81.79781,243.20189,81.79811,0.0002975464,-80.70204,83.16426849365234,242.83575439453125,1.0000228881835938,6.421718125542005e-05
6250,81.796165,243.20352,81.79648,0.00031280518,-80.703674,83.1627426147461,242.8372802734375,1.0000228881835938,6.475362926721572e-05
6500,81.79287,243.2068,81.7932,0.00032806396,-80.70697,83.15949249267578,242.8405303955078,1.0000228881835938,6.499758611122767e-05
6750,81.79232,243.20732,81.79268,0.00035858154,-80.707504,83.15902709960938,242.84099578857422,1.0000228881835938,6.534095232685408e-05
7000,81.78886,243.21077,81.78923,0.00037384033,-80.71095,83.15567779541016,242.84434509277344,1.0000228881835938,6.556235253810882e-05
7250,81.788025,243.21161,81.78839,0.00036621094,-80.71179,83.15487670898438,242.84515380859375,1.000030517578125,6.581034511327744e-05
7500,81.78532,243.2143,81.785706,0.00038909912,-80.71449,83.15232849121094,242.84771728515625,1.0000457763671875,6.608509769042333e-05
7750,81.783745,243.21585,81.78415,0.0004043579,-80.71605,83.15081024169922,242.84922790527344,1.0000381469726562,6.613225365678469e-05
8000,81.78183,243.21776,81.78224,0.0004119873,-80.717964,83.1490249633789,242.85100555419922,1.000030517578125,6.633831808964412e-05
8250,81.77975,243.21985,81.78015,0.0004043579,-80.72005,83.14704132080078,242.8530044555664,1.0000457763671875,6.646400938431421e-05
8500,81.77827,243.22133,81.77867,0.0004043579,-80.72153,83.14568328857422,242.85438537597656,1.0000686645507812,6.643397733569145e-05
8750,81.77605,243.22354,81.77646,0.0004119873,-80.72375,83.14359283447266,242.8564682006836,1.00006103515625,6.660473843415578e-05
9000,81.774445,243.22507,81.77493,0.00048828125,-80.72531,83.1423568725586,242.85771942138672,1.0000762939453125,6.704296916723251e-05
9250,81.77209,243.22742,81.77258,0.00049591064,-80.72766,83.14054107666016,242.8596420288086,1.00018310546875,7.145307958126068e-05
9500,81.77032,243.22919,81.77081,0.00049591064,-80.72943,83.1391372680664,242.86104583740234,1.00018310546875,7.149373491605123e-05
9750,81.76832,243.2312,81.7688,0.00048065186,-80.731445,83.13753509521484,242.862548828125,1.0000839233398438,7.378100107113521e-05
10000,81.76638,243.23315,81.766846,0.00046539307,-80.73338,83.13591003417969,242.86416625976562,1.0000762939453125,6.810101370016733e-05
10250,81.7646,243.23497,81.76503,0.0004272461,-80.73518,83.134521484375,242.86556243896484,1.0000839233398438,6.745741392175356e-05
10500,81.76262,243.23698,81.763016,0.00039672852,-80.73718,83.1329574584961,242.8671646118164,1.0001220703125,6.860151266058287e-05
10750,81.76087,243.23871,81.76129,0.0004196167,-80.73892,83.13169860839844,242.8685073852539,1.0002059936523438,7.118758435050647e-05
11000,81.75894,243.24069,81.75931,0.00036621094,-80.740875,83.13007354736328,242.86995697021484,1.000030517578125,6.998848170042038e-05
11250,81.75722,243.24246,81.75754,0.00032043457,-80.74262,83.12871551513672,242.8713836669922,1.0000991821289062,6.78656001885732e-05
11500,81.75542,243.24432,81.75568,0.0002593994,-80.74445,83.12732696533203,242.8727569580078,1.0000839233398438,6.800957644979159e-05
