t,m_r,m_b,eps_r,eps_b,umax,urms,rho_min,rho_max,E_psi
23000,38398.92725859345,38397.127187667946,2.7935974128846888e-05,7.481282114724764e-05,0.02521519362926483,0.001502135768532753,0.8896737694740295,1.007258653640747,7.38631250957648e-05
24000,38398.87846960685,38397.004643006025,2.920652065502812e-05,7.800408838477324e-05,0.02526593953371048,0.0015018496196717024,0.8896051049232483,1.0071560144424438,7.544512550036113e-05
25000,38398.838742914566,38396.87021876616,3.0241069933178247e-05,8.150471963119799e-05,0.02537359483540058,0.001503432635217905,0.8895518183708191,1.0072590112686157,7.218459000190099e-05
26000,38398.801018149104,38396.73541498167,3.122348570040382e-05,8.5015234852411e-05,0.025121694430708885,0.0015020258724689484,0.8895001411437988,1.0071921348571777,7.440832753976186e-05
27000,38398.75205467634,38396.61275246408,3.249857613695895e-05,8.820957124783035e-05,0.025206947699189186,0.0015037625562399626,0.8894504308700562,1.0072021484375,8.081593240300815e-05
28000,38398.70521822708,38396.484891327586,3.371827533650655e-05,9.153928834412758e-05,0.025248831138014793,0.001503008883446455,0.8894054889678955,1.0071475505828857,7.735458513100942e-05
29000,38398.65590420511,38396.362298176646,3.5002494658632104e-05,9.473181831651801e-05,0.025284772738814354,0.001503526116721332,0.889459490776062,1.0071964263916016,7.87932425737381e-05
30000,38398.607510634894,38396.23825847817,3.6262743882957693e-05,9.796201879756457e-05,0.02518635243177414,0.0015030205249786377,0.8895288705825806,1.0071384906768799,7.552284747362136e-05
31000,38398.574978682664,38396.09270482899,3.7109930138967685e-05,0.00010175247841175406,0.025190794840455055,0.001503276638686657,0.8895653486251831,1.0071394443511963,7.699782649676005e-05
32000,38398.53460209959,38395.952562243554,3.8161403656431505e-05,0.00010540202490744833,0.02521185390651226,0.0015033541712909937,0.8895979523658752,1.0071396827697754,7.644004498918852e-05
33000,38398.481958360535,38395.83492531303,3.9532334361069844e-05,0.00010846548663986747,0.025187373161315918,0.001503549749031663,0.8896492719650269,1.0071399211883545,7.668288424611091e-05
34000,38398.43083096808,38395.714852081335,4.086377687296287e-05,0.00011159239371522745,0.025312896817922592,0.0015024635940790176,0.8897048234939575,1.0070993900299072,7.716809088985126e-05
35000,38398.38141496185,38395.58967117863,4.2150652035199225e-05,0.00011485231305641719,0.025227302685379982,0.0015031557995826006,0.8897562623023987,1.0071080923080444,7.871239756544431e-05
36000,38398.33258998543,38395.46382026814,4.342213579604959e-05,0.00011812968051723753,0.0252390056848526,0.001503707724623382,0.8898041844367981,1.0071659088134766,8.217168971896171e-05
37000,38398.283757757854,38395.33735529428,4.4693808389221584e-05,0.00012142303921147384,0.02526470459997654,0.0015039130812510848,0.8898446559906006,1.007175326347351,8.410895864168803e-05
38000,38398.23397765351,38395.2152946662,4.5990165273224195e-05,0.00012460170140097184,0.025278376415371895,0.0015032201772555709,0.8898857831954956,1.0071871280670166,8.358178039391835e-05
39000,38398.18236927273,38395.09260022493,4.7334133522743586e-05,0.0001277968691423818,0.025264926254749298,0.0015034431125968695,0.8899243474006653,1.0071406364440918,8.174289638797442e-05
