step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
11000,2.880001973467e+04,2.880001973467e+04,1.919982890003e+04,9.599861005773e+03,0.000000000000e+00,0.000000000000e+00,2.880001971442e+04,0.000000000000e+00,3.298288676215e-01,2.025254070759e-05,-3.298086150826e-01
11200,2.880001969264e+04,2.880001969264e+04,1.919982695471e+04,9.599858468690e+03,0.000000000000e+00,0.000000000000e+00,2.880001969820e+04,0.000000000000e+00,3.342692473343e-01,-5.559995770454e-06,-3.342748073301e-01
11400,2.880001897226e+04,2.880001897226e+04,1.919982538790e+04,9.599856247766e+03,0.000000000000e+00,0.000000000000e+00,2.880001896220e+04,0.000000000000e+00,3.373365913685e-01,1.005083322525e-05,-3.373265405353e-01
11600,2.880001921956e+04,2.880001921956e+04,1.919982348769e+04,9.599854111749e+03,0.000000000000e+00,0.000000000000e+00,2.880001921302e+04,0.000000000000e+00,3.416201270593e-01,6.543472409248e-06,-3.416135835869e-01
11800,2.880001821316e+04,2.880001821316e+04,1.919982131559e+04,9.599851668302e+03,0.000000000000e+00,0.000000000000e+00,2.880001821315e+04,0.000000000000e+00,3.452292757866e-01,1.117587089539e-08,-3.452292646107e-01
12000,2.880001825120e+04,2.880001825120e+04,1.919981965489e+04,9.599849468151e+03,0.000000000000e+00,0.000000000000e+00,2.880001823002e+04,0.000000000000e+00,3.491281582519e-01,2.118013799191e-05,-3.491069781157e-01
12200,2.880001666917e+04,2.880001666917e+04,1.919981731682e+04,9.599847017615e+03,0.000000000000e+00,0.000000000000e+00,2.880001664889e+04,0.000000000000e+00,3.523347257942e-01,2.027675509453e-05,-3.523144490391e-01
12400,2.880001558843e+04,2.880001558843e+04,1.919981436236e+04,9.599844917544e+03,0.000000000000e+00,0.000000000000e+00,2.880001556814e+04,0.000000000000e+00,3.563085332207e-01,2.029724419117e-05,-3.562882359765e-01
12600,2.880001601437e+04,2.880001601437e+04,1.919981213156e+04,9.599843472781e+03,0.000000000000e+00,0.000000000000e+00,2.880001602232e+04,0.000000000000e+00,3.604100365519e-01,-7.949769496918e-06,-3.604179863214e-01
12800,2.880001564091e+04,2.880001564091e+04,1.919981000939e+04,9.599841568838e+03,0.000000000000e+00,0.000000000000e+00,2.880001564670e+04,0.000000000000e+00,3.640626784982e-01,-5.790963768959e-06,-3.640684694619e-01
13000,2.880001596888e+04,2.880001596888e+04,1.919980776903e+04,9.599839905318e+03,0.000000000000e+00,0.000000000000e+00,2.880001597971e+04,0.000000000000e+00,3.682945330092e-01,-1.082941889763e-05,-3.683053624263e-01
13200,2.880001643505e+04,2.880001643505e+04,1.919980488678e+04,9.599837841768e+03,0.000000000000e+00,0.000000000000e+00,2.880001643455e+04,0.000000000000e+00,3.737064986308e-01,4.991888999939e-07,-3.737059994419e-01
13400,2.880001631857e+04,2.880001631857e+04,1.919980285957e+04,9.599835265697e+03,0.000000000000e+00,0.000000000000e+00,2.880001632094e+04,0.000000000000e+00,3.781933053251e-01,-2.371147274971e-06,-3.781956764724e-01
13600,2.880001614512e+04,2.880001614512e+04,1.919980112838e+04,9.599833006337e+03,0.000000000000e+00,0.000000000000e+00,2.880001616299e+04,0.000000000000e+00,3.820103976977e-01,-1.787580549717e-05,-3.820282735032e-01
13800,2.880001607794e+04,2.880001607794e+04,1.919979905534e+04,9.599830322648e+03,0.000000000000e+00,0.000000000000e+00,2.880001607376e+04,0.000000000000e+00,3.866999518032e-01,4.172325134277e-06,-3.866957794780e-01
14000,2.880001764537e+04,2.880001764537e+04,1.919979736522e+04,9.599828365904e+03,0.000000000000e+00,0.000000000000e+00,2.880001764768e+04,0.000000000000e+00,3.919142471386e-01,-2.317130565643e-06,-3.919165642692e-01
14200,2.880001823646e+04,2.880001823646e+04,1.919979550319e+04,9.599826732328e+03,0.000000000000e+00,0.000000000000e+00,2.880001823360e+04,0.000000000000e+00,3.960009416078e-01,2.862885594368e-06,-3.959980787222e-01
14400,2.880001809864e+04,2.880001809864e+04,1.919979366416e+04,9.599824801281e+03,0.000000000000e+00,0.000000000000e+00,2.880001809311e+04,0.000000000000e+00,3.996332005136e-01,5.533918738365e-06,-3.996276665930e-01
14600,2.880001794270e+04,2.880001794270e+04,1.919979147734e+04,9.599823371861e+03,0.000000000000e+00,0.000000000000e+00,2.880001793045e+04,0.000000000000e+00,4.030935003138e-01,1.225247979164e-05,-4.030812478341e-01
14800,2.880001876838e+04,2.880001876838e+04,1.919978839883e+04,9.599822202082e+03,0.000000000000e+00,0.000000000000e+00,2.880001877767e+04,0.000000000000e+00,4.081674734443e-01,-9.285286068916e-06,-4.081767587304e-01
15000,2.880001959374e+04,2.880001959374e+04,1.919978603736e+04,9.599821217184e+03,0.000000000000e+00,0.000000000000e+00,2.880001960599e+04,0.000000000000e+00,4.123391977300e-01,-1.225061714649e-05,-4.123514483472e-01
15200,2.880001951312e+04,2.880001951312e+04,1.919978279409e+04,9.599818775924e+03,0.000000000000e+00,0.000000000000e+00,2.880001953268e+04,0.000000000000e+00,4.179431142147e-01,-1.955591142178e-05,-4.179626701261e-01
15400,2.880002059432e+04,2.880002059432e+04,1.919977985516e+04,9.599816885391e+03,0.000000000000e+00,0.000000000000e+00,2.880002058893e+04,0.000000000000e+00,4.238537728634e-01,5.386769771576e-06,-4.238483860936e-01
15600,2.880002004771e+04,2.880002004771e+04,1.919977746347e+04,9.599815388358e+03,0.000000000000e+00,0.000000000000e+00,2.880002003706e+04,0.000000000000e+00,4.271958870850e-01,1.065619289875e-05,-4.271852308921e-01
15800,2.880001955814e+04,2.880001955814e+04,1.919977443144e+04,9.599813375080e+03,0.000000000000e+00,0.000000000000e+00,2.880001957536e+04,0.000000000000e+00,4.317516158808e-01,-1.721829175949e-05,-4.317688341725e-01
16000,2.880002012206e+04,2.880002012206e+04,1.919977237744e+04,9.599811139118e+03,0.000000000000e+00,0.000000000000e+00,2.880002015126e+04,0.000000000000e+00,4.366054975671e-01,-2.919696271420e-05,-4.366346945317e-01
16200,2.880002088338e+04,2.880002088338e+04,1.919976899921e+04,9.599808578904e+03,0.000000000000e+00,0.000000000000e+00,2.880002088600e+04,0.000000000000e+00,4.433052665172e-01,-2.620741724968e-06,-4.433078872607e-01
16400,2.880002137989e+04,2.880002137989e+04,1.919976659688e+04,9.599806341714e+03,0.000000000000e+00,0.000000000000e+00,2.880002137023e+04,0.000000000000e+00,4.484412911461e-01,9.655952453613e-06,-4.484316351954e-01
16600,2.880002095172e+04,2.880002095172e+04,1.919976458698e+04,9.599804248852e+03,0.000000000000e+00,0.000000000000e+00,2.880002095950e+04,0.000000000000e+00,4.521158949829e-01,-7.774680852890e-06,-4.521236696637e-01
16800,2.880001975292e+04,2.880001975292e+04,1.919976240975e+04,9.599802140341e+03,0.000000000000e+00,0.000000000000e+00,2.880001973474e+04,0.000000000000e+00,4.552028324433e-01,1.818127930164e-05,-4.551846511640e-01
17000,2.880001944371e+04,2.880001944371e+04,1.919975942248e+04,9.599800620983e+03,0.000000000000e+00,0.000000000000e+00,2.880001943147e+04,0.000000000000e+00,4.594002431131e-01,1.223944127560e-05,-4.593880036700e-01
17200,2.880001875585e+04,2.880001875585e+04,1.919975682752e+04,9.599799087561e+03,0.000000000000e+00,0.000000000000e+00,2.880001874930e+04,0.000000000000e+00,4.628407685923e-01,6.550922989845e-06,-4.628342176693e-01
17400,2.880001885784e+04,2.880001885784e+04,1.919975453770e+04,9.599797316597e+03,0.000000000000e+00,0.000000000000e+00,2.880001886725e+04,0.000000000000e+00,4.670035434210e-01,-9.410083293915e-06,-4.670129535043e-01
17600,2.880001866770e+04,2.880001866770e+04,1.919975183267e+04,9.599795814271e+03,0.000000000000e+00,0.000000000000e+00,2.880001865423e+04,0.000000000000e+00,4.710207568169e-01,1.346878707409e-05,-4.710072880298e-01
17800,2.880001831631e+04,2.880001831631e+04,1.919974896493e+04,9.599794058005e+03,0.000000000000e+00,0.000000000000e+00,2.880001831532e+04,0.000000000000e+00,4.752933756026e-01,9.909272193909e-07,-4.752923846754e-01
18000,2.880001799683e+04,2.880001799683e+04,1.919974600500e+04,9.599792591400e+03,0.000000000000e+00,0.000000000000e+00,2.880001797336e+04,0.000000000000e+00,4.794004229570e-01,2.346374094486e-05,-4.793769592143e-01
18200,2.880001706254e+04,2.880001706254e+04,1.919974334111e+04,9.599790958095e+03,0.000000000000e+00,0.000000000000e+00,2.880001705456e+04,0.000000000000e+00,4.827633365239e-01,7.983297109604e-06,-4.827553532268e-01
18400,2.880001700651e+04,2.880001700651e+04,1.919974063602e+04,9.599789456106e+03,0.000000000000e+00,0.000000000000e+00,2.880001700824e+04,0.000000000000e+00,4.869143831256e-01,-1.732259988785e-06,-4.869161153838e-01
18600,2.880001745766e+04,2.880001745766e+04,1.919973766107e+04,9.599788557848e+03,0.000000000000e+00,0.000000000000e+00,2.880001745039e+04,0.000000000000e+00,4.912387354179e-01,7.266178727150e-06,-4.912314692410e-01
18800,2.880001785526e+04,2.880001785526e+04,1.919973526286e+04,9.599787602262e+03,0.000000000000e+00,0.000000000000e+00,2.880001785505e+04,0.000000000000e+00,4.949901411874e-01,2.104789018631e-07,-4.949899307103e-01
19000,2.880001744975e+04,2.880001744975e+04,1.919973235147e+04,9.599786210848e+03,0.000000000000e+00,0.000000000000e+00,2.880001743758e+04,0.000000000000e+00,4.988874305054e-01,1.217238605022e-05,-4.988752581194e-01
19200,2.880001746088e+04,2.880001746088e+04,1.919972962150e+04,9.599785336542e+03,0.000000000000e+00,0.000000000000e+00,2.880001744670e+04,0.000000000000e+00,5.025028404762e-01,1.418590545654e-05,-5.024886545725e-01
19400,2.880001760512e+04,2.880001760512e+04,1.919972663965e+04,9.599784142839e+03,0.000000000000e+00,0.000000000000e+00,2.880001762289e+04,0.000000000000e+00,5.068226279036e-01,-1.776963472366e-05,-5.068403975383e-01
19600,2.880001797162e+04,2.880001797162e+04,1.919972427486e+04,9.599782578385e+03,0.000000000000e+00,0.000000000000e+00,2.880001796728e+04,0.000000000000e+00,5.111183753925e-01,4.339963197708e-06,-5.111140354275e-01
19800,2.880001825503e+04,2.880001825503e+04,1.919972185340e+04,9.599781171483e+03,0.000000000000e+00,0.000000000000e+00,2.880001823866e+04,0.000000000000e+00,5.152301503058e-01,1.636892557144e-05,-5.152137813784e-01
20000,2.880001832734e+04,2.880001832734e+04,1.919971927260e+04,9.599780206572e+03,0.000000000000e+00,0.000000000000e+00,2.880001832569e+04,0.000000000000e+00,5.188481663972e-01,1.650303602219e-06,-5.188465160936e-01
