t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
12000,0.023636287078261375,0.0033734547905623913,-3.518247827488437e-06,-4.820724859595589e-06,0.6522700078694073,0.43369831838077677,0.003007543304330229,0.0003455890784184734,0.000472830286424919,1.0,1.0,0.020070772618055344,0.0030137924477458,0.0040155695751309395,65794.05225343839,11465.005517498099,-5193.852068066597,5379.907421112061,186.8898180127144,-7.904321504989639,-1.0980963860383781
13000,0.02373540587723255,0.003373152343556285,-1.7915359314752707e-06,-7.0745852541786995e-06,0.47389833840005513,0.5998394439997203,0.0030095567636764797,0.0004111913144057011,-0.0003877427966835767,1.0,1.0,0.020322950556874275,0.0030080804135650396,0.003925113007426262,65325.48672840839,11928.412158683652,-5663.083307981491,5843.208097934723,181.56693994998932,-8.570036389879533,-1.204060748928896
14000,0.023823196068406105,0.0033734547905623913,-3.0408827538166393e-06,-8.864218697827468e-06,0.8231049327119027,0.7522030700837641,0.0030948147658407255,0.0003814993794747923,-0.0010630050989500206,1.0,1.0,0.020653188228607178,0.002991354325786233,0.0038388678804039955,64856.78915108671,12391.960316917963,-6132.4362642765045,6306.646861195564,176.23515313863754,-9.225415363216598,-1.3134557223984302
15000,0.023928342387080193,0.003373465035110712,-4.704922118928561e-06,-9.62310216643857e-06,0.9994017522255357,0.8449816753381608,0.00315914814873558,0.00032603723426966047,-0.001347986586167138,1.0,1.0,0.021006794646382332,0.002938918536528945,0.0038399668410420418,64387.95918037423,12855.664243212188,-6601.922189235687,6770.238108992577,170.8967644572258,-9.881369609916874,-1.4261342196114128
16000,0.024048136547207832,0.0033734680619090796,-4.997915204834011e-06,-7.333482969253775e-06,0.9998402468992432,0.7925830969805024,0.0030853694594087933,0.0003189717497468769,-0.0005138541792594209,1.0,1.0,0.02137322723865509,0.0028717671521008015,0.0038553522899746895,63918.981963333135,13319.505839727275,-7071.553691148758,7233.963112354279,165.52108651399612,-10.535654481893289,-1.5427273729965236
17000,0.02362068183720112,0.003372322069481015,-5.071106202464718e-06,-3.3687282214213165e-06,0.9999504455173188,0.9447937258800228,0.0029633408062478828,0.0003208821363839265,0.0009240228715950427,1.0,1.0,0.021509220823645592,0.0028624781407415867,0.0039032497443258762,63449.90045940144,13783.536373504923,-7541.292950510979,7697.873106956482,160.19761151075363,-11.193409912419156,-1.6632665484412428
18000,0.020907577127218246,0.0033451395574957132,-5.137952253780163e-06,-2.9866767917724715e-06,0.9999940335057962,0.8633230370025758,0.002964458359180022,0.00032262458945775396,0.0010621914550422162,1.0,1.0,0.020907577127218246,0.002904192777350545,0.003311699256300926,62980.69614696921,14247.727531172437,-8011.156072378159,8161.940633893013,154.88362526893616,-11.8522193473691,-1.7868972794240108
19000,0.02095182053744793,0.0033472587820142508,-5.272660344679202e-06,-3.213879657304119e-06,0.9999001868506325,0.8578823454472392,0.0029867949086126444,0.0003207601912307845,0.0009806787532060102,1.0,1.0,0.02095182053744793,0.002897536614909768,0.003323572687804699,62511.39056893298,14712.02515049859,-8481.115941524506,8626.110941112041,149.5526247024536,-12.506510457482364,-1.914209386548464
20000,0.020995616912841797,0.0033495137467980385,-5.479463759591589e-06,-3.4832659570944046e-06,0.9997123074571774,0.8942699277866175,0.0030115745502501956,0.0003150383511860144,0.000883564240100887,1.0,1.0,0.020995616912841797,0.0029020090587437153,0.0033325974363833666,62041.94130339692,15176.440074389122,-8951.217508912086,9090.394587397575,144.1711350083351,-13.158812309004134,-2.045486991546568
21000,0.021031133830547333,0.0033511745277792215,-5.631523336317748e-06,-3.6074456205984837e-06,0.9997714430334964,0.9075452492236405,0.0030300739391977416,0.0003129127510091423,0.0008372565973780444,1.0,1.0,0.021031133830547333,0.002919806633144617,0.0033331967424601316,61572.36159450097,15640.95415443415,-9421.445882201195,9554.772393643856,138.735242664814,-13.80747670216806,-2.1817607902939926
