t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
11000,0.023253999650478363,0.005448456853628159,1,"[12, 89]","[101, 250]",8,-8.38989905989006e-06,-8.577067947595077e-06,0.9976476244339533,0.9974443862160574,0.002915982230693004,0.002915982230693004,0.0029143489824311475,0.0005033910274505615,0.0004118978977203369,1.0,1.0,0.020602693781256676,0.004010737873613834,26138.276456257867,14116.545824043462,-8029.795274615288,8031.010169565678,-0.22481828927993774,-4.071730873154593,-1.5356544777841918
12000,0.020146796479821205,0.005416900850832462,1,"[12, 94]","[105, 250]",7,-8.418864963365806e-06,-8.31483328197905e-06,0.995917117136119,0.9866375515599898,0.0028893895104081246,0.0028893895104081246,0.0029089883949026674,0.0005043148994445801,0.0004222691059112549,1.0,1.0,0.020146796479821205,0.0034397973213344812,25362.803373034258,14884.950675929309,-8805.555790901184,8799.210620701313,-7.727662622928619,-4.359163935441757,-1.7400552279959811
13000,0.020340342074632645,0.005424414295703173,1,"[12, 99]","[110, 250]",7,-8.724478879406845e-06,-8.390284101252397e-06,0.9988028287698933,0.9838045879110353,0.002905032051511325,0.002905032051511325,0.0029254480263390947,0.0004877746105194092,0.0004156529903411865,1.0,1.0,0.020340342074632645,0.003505594562739134,24587.044908911463,15653.956155587985,-9581.597420930862,9568.00247734785,-15.082804679870605,-4.642329842325125,-1.9536782401337405
14000,0.020562827587127686,0.005431137979030609,1,"[12, 104]","[115, 250]",7,-9.353969626757583e-06,-8.482056534612943e-06,0.9979639448304051,0.9809655137585058,0.0029380302098051536,0.0029380302098051536,0.002959937554615877,0.00045242905616760254,0.0004099607467651367,1.0,1.0,0.020562827587127686,0.0035407827235758305,23811.15291553739,16423.536609863717,-10357.759988307953,10337.360937595367,-22.177893102169037,-4.912903845342953,-2.1756722683494445
15000,0.020686088129878044,0.005436894483864307,1,"[12, 109]","[120, 250]",7,-9.672225223901974e-06,-8.578109784187266e-06,0.9978325648992823,0.9811901897038338,0.0029637512316360026,0.0029637512316360026,0.002985971094537909,0.00043401122093200684,0.0004051327705383301,1.0,1.0,0.020686088129878044,0.003559398464858532,23035.055520877053,17193.374806275904,-11134.097482323647,11106.965167045593,-29.40868252515793,-5.153003200699459,-2.4096392303108587
16000,0.020843546837568283,0.005442523397505283,1,"[12, 114]","[125, 250]",7,-9.611175412553391e-06,-8.592290629256242e-06,0.9947878871357563,0.9816369066573792,0.0029658473010987785,0.0029658473010987785,0.002987432821281333,0.0004356801509857178,0.00040465593338012695,1.0,1.0,0.020843546837568283,0.003597201546654105,22258.838528465454,17963.405726373603,-11910.54295706749,11876.746347546577,-36.79205858707428,-5.3814855329437705,-2.659378827025648
17000,0.021018916741013527,0.005447268486022949,1,"[12, 119]","[130, 250]",7,-9.41221559726648e-06,-8.556591267304024e-06,0.9912600809292649,0.9799513926707274,0.002954319786964643,0.002954319786964643,0.0029760979431831536,0.0004437565803527832,0.0004062354564666748,1.0,1.0,0.021018916741013527,0.0036611633840948343,21482.51605561367,18733.74827104318,-12687.093125462532,12646.82223212719,-44.21938782930374,-5.609181076200912,-2.9260389159899205
18000,0.021310856565833092,0.005451828241348267,1,"[12, 124]","[135, 250]",7,-9.262381713334598e-06,-8.483442362430684e-06,0.994587913804322,0.9755297062737365,0.0029420924810644733,0.0029420924810644733,0.002965344393284608,0.00044989585876464844,0.0004095733165740967,1.0,1.0,0.021310856565833092,0.0036922183353453875,20706.09284816163,19504.451883676717,-13463.731530070305,13417.24320858717,-51.62541878223419,-5.824378231933224,-3.2086750895468867
19000,0.02143906243145466,0.0054556881077587605,1,"[12, 129]","[140, 250]",7,-9.176779710512286e-06,-8.40518009328584e-06,0.9983371395032234,0.9681441014651929,0.0029351116269325517,0.0029351116269325517,0.002963310869841085,0.00045430660247802734,0.00041359663009643555,1.0,1.0,0.02143906243145466,0.003700534114614129,19929.660844649497,20275.397165385668,-14240.367068052292,14187.8926050663,-59.036947309970856,-6.027912701789319,-3.5045603193684656
20000,0.02177482098340988,0.005461176857352257,1,"[12, 134]","[145, 250]",7,-9.026652132537088e-06,-8.411628562782515e-06,0.996739305227364,0.9668107345840236,0.0029299615745025376,0.0029299615745025376,0.0029603271388707886,0.0004629194736480713,0.0004139244556427002,1.0,1.0,0.02177482098340988,0.00373251480050385,19153.13468407305,21046.604637524517,-15017.097491025925,14958.792074680328,-66.53972065448761,-6.232175098975858,-3.8125628441885056
