x,Req_r,R_r,dacc_r,net_r,cc,chi
20,2.047682464170e-09,-2.860076718691e-17,3.229478835245e-19,-2.106465359722e-05,3.063599510860e-01,1.047332809979e-01
21,4.597517095531e-09,-6.781357560524e-17,-3.562252300957e-19,-3.182875298080e-05,3.602941184873e-01,9.722144205508e-02
22,6.762074394511e-09,-9.726583222890e-17,2.699990407172e-19,-2.188387557093e-05,2.695813643410e-01,6.237410610439e-02
23,7.399399029727e-09,-1.120102964232e-16,-1.542868058256e-18,-2.092391820517e-05,2.032333399911e-01,4.890836995249e-02
24,8.694851401189e-09,-1.310987804954e-16,9.755855417999e-19,-1.877223118715e-05,1.739603224958e-01,4.372218332382e-02
25,8.361190418288e-09,-1.218732806401e-16,-7.290081129343e-19,-1.736655274568e-05,1.517578406210e-01,3.870627298925e-02
26,9.837126328974e-09,-1.471573466947e-16,-1.704554372047e-18,-1.458207995671e-05,1.214711387916e-01,3.552814766905e-02
27,1.036526594797e-08,-1.536059926598e-16,6.838330224140e-19,-7.257772528607e-06,1.036914690860e-01,2.920654157332e-02
28,1.108223248435e-08,-1.728086273112e-16,1.055918637551e-18,-4.071758493133e-06,7.512800597035e-02,2.506089718112e-02
29,1.267813470053e-08,-1.954957934666e-16,1.126313213388e-18,-3.278708976248e-06,5.003351218978e-02,7.119110049814e-03
30,1.135606156743e-08,-1.682832617217e-16,-3.318601432303e-19,-2.415121897407e-06,3.451911415079e-03,2.413411319337e-03
31,1.138035693894e-08,-1.722052452326e-16,1.196707789225e-18,-1.964977254038e-06,2.040030911823e-03,1.805919076539e-03
32,1.074159112961e-08,-1.595342215820e-16,2.292851898682e-18,-1.498085001241e-06,1.614057960856e-03,1.406976394843e-03
33,8.874896751798e-09,-1.317183077585e-16,8.045094381342e-19,-1.032488501590e-06,1.255397800816e-03,1.054270464453e-03
34,2.948850717234e-09,-4.525365589505e-17,9.050731179009e-20,-5.835748237112e-07,9.532942361353e-04,7.693880059386e-04
35,4.192976200062e-09,-6.395850033167e-17,-2.051499067242e-18,-1.053771247034e-07,7.158743456839e-04,5.495188688255e-04
36,2.722093916458e-09,-4.567602335007e-17,-1.810146235802e-18,3.826359043951e-07,5.306621023366e-04,3.771206766781e-04
37,3.164472139400e-09,-3.867679123830e-17,-4.726492949038e-19,8.646560751874e-07,3.847645937828e-04,2.402605516568e-04
38,5.232615639334e-09,-7.843967021808e-17,-1.015693165644e-18,1.360864742942e-06,2.704168788828e-04,1.348311981222e-04
39,5.200221810652e-09,-7.928440512812e-17,1.347553308875e-18,1.862321210944e-06,1.830100367986e-04,5.476021448669e-05
