step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
4000,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4100,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4200,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4300,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4400,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4500,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4600,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4700,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4800,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4900,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5000,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
