iter,dMr,dMb,sumR_r,sumR_b,sumdacc_r,sumdacc_b,resid_r,resid_b
13,-8.615803380962e-06,6.381998900906e-06,-2.139156079827e-12,-1.623986599901e-12,1.317315465152e-14,-7.830382528365e-15,-8.615801254980e-06,6.382000532723e-06
14,9.598184988135e-06,-1.387325028190e-06,-2.305527966009e-12,-1.599348339312e-12,-2.110274506680e-14,-3.034308847477e-14,9.598187314766e-06,-1.387323398499e-06
15,-2.126093022525e-06,-1.176472505904e-05,-2.165804522076e-12,-1.659624057648e-12,6.822399768605e-15,2.171965271481e-15,-2.126090863543e-06,-1.176472340159e-05
16,-9.110121027334e-06,9.966242942028e-08,-2.387618855906e-12,-1.600813150657e-12,8.509443082355e-14,-1.058840311979e-14,-9.110118724809e-06,9.966404082183e-08
17,3.285713319201e-06,1.308868377237e-06,-2.228225440819e-12,-1.693120614210e-12,-5.507374341730e-15,2.544453769860e-14,3.285715552934e-06,1.308870044913e-06
18,-3.919176378986e-06,1.002933458949e-05,-2.398651467562e-12,-1.717575005968e-12,-1.228345157252e-14,-1.838295615448e-14,-3.919173968051e-06,1.002933632545e-05
19,-1.617166344658e-05,-3.206110704923e-06,-2.370767338497e-12,-1.672286841067e-12,-3.691644361622e-14,5.293725527378e-15,-1.617166103890e-05,-3.206109037930e-06
20,4.487341357162e-06,-1.842217898229e-06,-2.336193520880e-12,-1.631518482936e-12,-5.133542110283e-14,9.372878653226e-15,4.487343744691e-06,-1.842216276084e-06
21,1.477017940488e-05,4.582898327499e-06,-2.275517374283e-12,-1.636335720243e-12,-5.991538204974e-14,-9.280533427251e-16,1.477018174031e-05,4.582899964762e-06
22,9.789466275834e-06,-2.512284481782e-06,-2.311002011934e-12,-1.540446506723e-12,5.262789173639e-14,2.829245559078e-14,9.789468534208e-06,-2.512282969627e-06
23,1.267861080123e-06,-4.438848918653e-06,-2.200006401597e-12,-1.703866753499e-12,5.106500752848e-14,2.126148581738e-14,1.267863229065e-06,-4.438847236048e-06
24,-9.844781743595e-06,-4.658930265578e-06,-2.198801713646e-12,-1.685256965309e-12,-4.530619992669e-14,-1.549627464651e-14,-9.844779499487e-06,-4.658928564824e-06
25,-3.491877578199e-07,-8.084756700555e-06,-2.315498459653e-12,-1.655110197049e-12,-2.759681792439e-14,-1.349223196275e-14,-3.491854147246e-07,-8.084755031952e-06
26,7.567039574496e-06,-8.469258318655e-06,-2.406672777034e-12,-1.613719437414e-12,-3.491652598292e-14,2.843564142832e-14,7.567042016086e-06,-8.469256733371e-06
27,4.856912710238e-06,1.304548277403e-06,-2.126306175924e-12,-1.659586683166e-12,-5.582335063496e-14,-2.173620035047e-14,4.856914892368e-06,1.304549958726e-06
28,1.044956297847e-05,2.949067493319e-06,-2.375614293320e-12,-1.778288093155e-12,4.848713898648e-14,2.135078680694e-14,1.044956530559e-05,2.949069250256e-06
29,1.036524190567e-05,-1.029648410622e-05,-2.110757957617e-12,-1.714610153484e-12,1.686801739953e-14,-1.427632019763e-14,1.036524399956e-05,-1.029648237733e-05
30,-2.026388392551e-05,-1.610798790352e-06,-2.339284859418e-12,-1.664588754921e-12,-1.731828147957e-14,-6.002316699227e-14,-2.026388156891e-05,-1.610797065740e-06
31,-5.837813660037e-06,-4.964880645275e-06,-2.128657530915e-12,-1.671522087206e-12,-1.981773171131e-14,4.647139877773e-14,-5.837811511562e-06,-4.964879020224e-06
32,2.508426405257e-06,-5.756061000284e-06,-2.241297403409e-12,-1.617930759867e-12,-2.617498503100e-14,5.476274680038e-15,2.508428672729e-06,-5.756059387829e-06
33,-3.896042471752e-06,2.652472176123e-06,-2.199695910129e-12,-1.629537594745e-12,2.230481865016e-14,-1.836750966166e-14,-3.896040294360e-06,2.652473824029e-06
34,-7.670565537410e-06,-3.474408003967e-06,-2.239235606630e-12,-1.595949639940e-12,4.627663202183e-14,-4.263267595396e-14,-7.670563344451e-06,-3.474406365385e-06
35,6.623835361097e-06,6.966645742068e-06,-2.210298726362e-12,-1.717105426149e-12,-1.523116180434e-14,-5.709107096579e-15,6.623837586627e-06,6.966647464883e-06
