t,x_vol,x_cross
51750,231.30109049479168,229.0
52000,232.25901692708334,230.0
52250,233.21682942708333,231.0
52500,234.17469075520833,231.0
52750,235.1330078125,232.0
53000,236.09168294270833,233.0
53250,237.05056966145833,234.0
53500,238.00963541666667,235.0
53750,238.96871744791667,236.0
54000,239.92802734375,237.0
54250,240.88800455729168,238.0
54500,241.848583984375,239.0
54750,242.80934244791666,240.0
55000,243.77027994791666,241.0
55250,244.73141276041667,242.0
55500,245.69295247395834,243.0
55750,246.65428059895834,244.0
56000,247.61612955729166,245.0
56250,248.57814127604166,246.0
56500,249.54021809895832,247.0
56750,250.50245768229166,248.0
57000,251.46476236979166,249.0
57250,252.427294921875,250.0
57500,253.390185546875,251.0
57750,254.35330403645833,252.0
58000,255.31656901041666,253.0
58250,256.2801595052083,254.0
58500,257.24384765625,255.0
58750,258.2074055989583,256.0
59000,259.17130533854163,256.0
59250,260.13556315104165,257.0
59500,261.10011393229166,258.0
59750,262.06476236979165,259.0
60000,263.0295735677083,260.0
