t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
20000,0.02153751440346241,0.005459811072796583,-9.135208665366117e-06,-8.197092914326186e-06,0.9998249410898593,0.961932888771855,0.002954506220201325,0.000458321495914904,0.00045336407747065266,1.0,1.0,0.02153751440346241,0.004923467990010977,0.0037166611291468143,19151.359520068636,21048.45720420583,-15018.875871658325,14960.623559772968,-66.53963440656662,-6.2353917269610974,-3.833644432863366
21000,0.021496351808309555,0.005465960130095482,-9.343376691966655e-06,-8.474208693453461e-06,0.9998281283045275,0.9774316172863583,0.002961866708688088,0.0004309581961223774,0.00042721281847407644,1.0,1.0,0.021496351808309555,0.004917453043162823,0.003781452076509595,18374.713868641877,21820.01675372067,-15795.728810191154,15731.866285324097,-74.06943917274475,-6.442678833031096,-4.150468396572251
22000,0.021630868315696716,0.00547338230535388,-9.708345573853817e-06,-8.748585288538218e-06,0.9995831080411768,0.9800459757769922,0.002978541015693059,0.000387643734507781,0.00040625430537294394,1.0,1.0,0.021630868315696716,0.004959847312420607,0.003906155936419964,17597.9960023313,22591.91197995667,-16572.654262661934,16503.44089347124,-81.57783550024033,-6.650264993233577,-4.471086485427804
23000,0.021802019327878952,0.005476777907460928,-1.0045832969287832e-05,-8.79559964738557e-06,0.9986421984926745,0.9905472119981409,0.0029872078712019356,0.00034470408623671345,0.00040163889978861445,1.0,1.0,0.021802019327878952,0.0049790614284574986,0.003998403903096914,16821.146233017393,23364.198502236057,-17349.7101624012,17275.40093064308,-89.06037575006485,-6.856395418592001,-4.797571592975146
24000,0.021915888413786888,0.005478886887431145,-1.0183409732929133e-05,-8.31367258719458e-06,0.9942022780492938,0.9960835512214018,0.002972986386998666,0.00031983137210456203,0.0004300773077363096,1.0,1.0,0.021915888413786888,0.004993578419089317,0.0040343152359128,16044.3157442823,24136.74855067138,-18126.740138173103,18047.617437779903,-96.47579270601273,-7.055882455402752,-5.131112891474913
25000,0.02202330157160759,0.0054814936593174934,-1.0318605896624858e-05,-7.791723557971351e-06,0.9861702539338999,0.9943074896383606,0.002951501286967362,0.0002870293808917568,0.00045680883548054885,1.0,1.0,0.02202330157160759,0.005005274433642626,0.004053062759339809,15267.313207420466,24909.755413556104,-18903.9356842041,18820.279190003872,-103.81921887397766,-7.248891624567477,-5.476223552232113
26000,0.02212730050086975,0.005482105538249016,-1.088946181185228e-05,-7.69282407301664e-06,0.9867697716856775,0.9874102524312164,0.0029499943395236983,0.00019273926203450253,0.00045710217718969437,1.0,1.0,0.02212730050086975,0.005020446609705687,0.004048978444188833,14490.29583395641,25683.082884225456,-19681.138677597046,19593.24451506138,-111.0669971704483,-7.434511553456105,-5.838369164077449
27000,0.02223379909992218,0.005482146050781012,-1.1477460038852368e-05,-7.4619756025401335e-06,0.9848512810143295,0.9760405438041346,0.00294712104572481,9.380112968265797e-05,0.0004613081029818389,1.0,1.0,0.01876460574567318,0.005042115692049265,0.003938361536711454,13713.414181605633,26456.457565494842,-20458.196860790253,20366.2421541214,-118.32805299758911,-7.611042395885306,-6.215411373443203
28000,0.02233259752392769,0.00548362685367465,-1.1671404229765387e-05,-7.023775880347256e-06,0.9768129768507249,0.9669439828471947,0.002935913512344346,4.8761931704888184e-05,0.0004744596261391232,1.0,1.0,0.01873631402850151,0.005051509942859411,0.003940102178603411,12936.54837187527,27229.928376507538,-21235.229263305664,21139.324933588505,-125.66228264570236,-7.77763518093343,-6.603442919033114
29000,0.02241143397986889,0.0054851011373102665,-1.193668673382655e-05,-5.985973751481595e-06,0.9626556662822504,0.9288387365796038,0.002919738377288872,-1.8182537664390708e-06,0.0005094213859441199,1.0,1.0,0.01872188225388527,0.00504250219091773,0.003947159741073847,12159.642671276044,28003.562495634058,-22012.290547013283,21912.561478972435,-133.04850643873215,-7.93321828932676,-7.001016661622998
